method,k,delta_E,delta_LCC,delta_ASP,marginal_delta_E,marginal_delta_LCC,marginal_delta_ASP
rule,1,0.015483817107096592,0.010709010339734037,0.5881550150779162,0.015483817107096592,0.010709010339734037,0.5881550150779162
rule,3,0.01881376559720252,0.01846381093057603,0.688572599284786,0.0033299484901059273,0.007754800590841993,0.10041758420686975
rule,5,0.026287142859542756,0.026587887740029514,1.0059850318560235,0.007473377262340236,0.008124076809453484,0.3174124325712375
rule,10,0.034306129877953645,0.038035450516986646,1.4057757808046496,0.008018987018410889,0.011447562776957132,0.3997907489486261
shortest,1,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.01462161309006757,0.005169867060561217,0.5972015323506721
shortest,3,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.0,0.0,0.0
shortest,5,0.01576785440632214,0.006277695716395804,0.6516904849695706,0.0011462413162545704,0.0011078286558345862,0.05448895261889852
shortest,10,0.01642793435458667,0.0077548005908418816,0.6854252674151438,0.0006600799482645303,0.001477104874446078,0.03373478244557315
random,1,0.015200151766573688,0.009601181683899562,0.5725447216680184,0.015200151766573688,0.009601181683899562,0.5725447216680184
random,3,0.0152180164198433,0.009970457902511054,0.5731254232530842,1.7864653269611397e-05,0.00036927621861149174,0.0005807015850658459
random,5,0.020246453408476972,0.014401772525849288,0.7920166867123397,0.005028436988633672,0.004431314623338234,0.21889126345925547
random,10,0.02189285055805726,0.021418020679468186,0.8408843345328973,0.0016463971495802865,0.007016248153618898,0.048867647820557636
betweenness,1,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.01462161309006757,0.005169867060561217,0.5972015323506721
betweenness,3,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.0,0.0,0.0
betweenness,5,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.0,0.0,0.0
betweenness,10,0.019767571536857514,0.012555391432791718,0.7693144188590209,0.005145958446789944,0.007385524372230501,0.17211288650834877
node_score,1,0.011568602230202785,0.00553914327917282,0.4456070148073019,0.011568602230202785,0.00553914327917282,0.4456070148073019
node_score,3,0.011568602230202785,0.00553914327917282,0.4456070148073019,0.0,0.0,0.0
node_score,5,0.01908888436749845,0.01292466765140321,0.7759052752639262,0.007520282137295664,0.00738552437223039,0.33029826045662425
node_score,10,0.019122543322510233,0.013663220088626304,0.7764850759239286,3.365895501178384e-05,0.0007385524372230945,0.0005798006600024053
