dataset,source_file,experiment,method,k,delta_E,delta_LCC,delta_ASP,fragility_score,num_removed_nodes
Cora,cora_rank_pure_rank_metrics.json,rank_compare,rank_pure,1,0.014857054550014182,0.005908419497784312,0.603458556431197,0.1289979009053588,4.0
Cora,cora_rank_pure_rank_metrics.json,rank_compare,rank_pure,3,0.014857054550014182,0.005908419497784312,0.603458556431197,0.1289979009053588,4.0
Cora,cora_rank_pure_rank_metrics.json,rank_compare,rank_pure,5,0.015318336428813945,0.006277695716395804,0.6303382957148438,0.13470607200105267,5.0
Cora,cora_rank_pure_rank_metrics.json,rank_compare,rank_pure,10,0.01593638636193176,0.008862629246676468,0.6304501238402178,0.13600963101148686,6.0
Cora,cora_rank_rank_set_pred_score_selector_metrics.json,rank_compare,rank_set_pred_score_selector,1,0.012778695035649046,0.00738552437223039,0.48887459477093387,0.10584060671733855,5.0
Cora,cora_rank_rank_set_pred_score_selector_metrics.json,rank_compare,rank_set_pred_score_selector,3,0.020620239472604635,0.017355982274741444,0.7998015528783959,0.17515079927461763,9.0
Cora,cora_rank_rank_set_pred_score_selector_metrics.json,rank_compare,rank_set_pred_score_selector,5,0.024619786689129702,0.021048744460856694,1.0236354411682145,0.22299450069363747,16.0
Cora,cora_rank_rank_set_pred_score_selector_metrics.json,rank_compare,rank_set_pred_score_selector,10,0.028514761864798274,0.027326440177252498,1.1595394236094023,0.2542443655387008,21.0
Cora,cora_rank_rank_set_submodular_greedy_metrics.json,rank_compare,rank_set_submodular_greedy,1,0.01462161309006757,0.005169867060561217,0.5972015323506721,0.12735689853038595,3.0
Cora,cora_rank_rank_set_submodular_greedy_metrics.json,rank_compare,rank_set_submodular_greedy,3,0.023016790832164263,0.017355982274741444,0.9148049712611828,0.19911010349499883,7.0
Cora,cora_rank_rank_set_submodular_greedy_metrics.json,rank_compare,rank_set_submodular_greedy,5,0.025481547023666687,0.020679468242245203,1.0420601844058162,0.22687644298752802,13.0
Cora,cora_rank_rank_set_submodular_greedy_metrics.json,rank_compare,rank_set_submodular_greedy,10,0.029215800583917498,0.026218611521418023,1.224741151509238,0.2671219951439818,22.0
Cora,cora_rule_metrics.json,rule_compare,betweenness,1,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.12239180325288959,3.0
Cora,cora_rule_metrics.json,rule_compare,betweenness,3,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.12239180325288959,3.0
Cora,cora_rule_metrics.json,rule_compare,betweenness,5,0.019810569926465293,0.012555391432791718,0.7444029456923236,0.16182697368216753,5.0
Cora,cora_rule_metrics.json,rule_compare,betweenness,10,0.02002886995941819,0.013663220088626304,0.7594296943833649,0.1653627748958908,8.0
Cora,cora_rule_metrics.json,rule_compare,node_score,1,0.017225739424353514,0.010709010339734037,0.664415118896299,0.14405692368489484,6.0
Cora,cora_rule_metrics.json,rule_compare,node_score,3,0.018126256531322466,0.011816838995568624,0.7022494039103666,0.15242711899282976,8.0
Cora,cora_rule_metrics.json,rule_compare,node_score,5,0.01970207312275976,0.01477104874446078,0.7764234601502888,0.169073940776946,14.0
Cora,cora_rule_metrics.json,rule_compare,node_score,10,0.026811679378258013,0.024372230428360342,1.065567659542359,0.23358709583111917,19.0
Cora,cora_rule_metrics.json,rule_compare,random,1,0.011169815717769427,0.006277695716395804,0.40654255507980164,0.08828751558962643,6.0
Cora,cora_rule_metrics.json,rule_compare,random,3,0.011922533232023608,0.01107828655834564,0.4044472343433698,0.09008977478482166,12.0
Cora,cora_rule_metrics.json,rule_compare,random,5,0.027174932163309157,0.034711964549483,0.9115013143264141,0.2070550215503997,22.0
Cora,cora_rule_metrics.json,rule_compare,random,10,0.02758149094669453,0.03840472673559814,0.9263897474032721,0.21167243655357149,31.0
Cora,cora_rule_metrics.json,rule_compare,rule,1,0.017225739424353514,0.010709010339734037,0.664415118896299,0.14405692368489484,6.0
Cora,cora_rule_metrics.json,rule_compare,rule,3,0.023081669380104253,0.023264401772525756,0.9309091912900938,0.20472026671907076,23.0
Cora,cora_rule_metrics.json,rule_compare,rule,5,0.02626498128407466,0.028434268833087084,1.0661591653473215,0.235111533116329,28.0
Cora,cora_rule_metrics.json,rule_compare,rule,10,0.04133560695111352,0.057976366322008865,1.7167526378192752,0.38307531687310403,53.0
Cora,cora_rule_metrics.json,rule_compare,shortest,1,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.12239180325288959,3.0
Cora,cora_rule_metrics.json,rule_compare,shortest,3,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.12239180325288959,3.0
Cora,cora_rule_metrics.json,rule_compare,shortest,5,0.01581085279592992,0.006277695716395804,0.6267790118028733,0.13419122176550496,5.0
Cora,cora_rule_metrics.json,rule_compare,shortest,10,0.01647093274419445,0.0077548005908418816,0.6605137942484465,0.14179305218370383,8.0
