dataset,method,rank,source,target,nodes,num_nodes_in_path,score,path_length,cross_comm_ratio,avg_node_importance,avg_edge_bc,delta_E,delta_LCC,delta_ASP,fragility_score
Cora,rank_pure,1,2080,758,2080 -> 306 -> 1483 -> 1072 -> 1358 -> 758,6,2.193134307861328,5.0,0.2,0.8181925058364868,0.00896880739435979,0.016233025308025284,0.005908419497784312,0.7071702371677926,0.15029062535588236
Cora,rank_pure,2,1787,1620,1787 -> 306 -> 1072 -> 1358 -> 1483 -> 1620,6,2.153635263442993,5.0,0.2,0.8212290783723195,0.010659917349248305,0.014760250166500288,0.005908419497784312,0.5508949130186842,0.11844645046945068
Cora,rank_pure,3,2080,326,2080 -> 306 -> 1483 -> 1072 -> 1358 -> 326,6,2.0642521381378174,5.0,0.2,0.8179664413134257,0.008941235897633803,0.014297708541458592,0.005908419497784312,0.4263824028890246,0.09335893179350209
Cora,rank_pure,4,1787,173,1787 -> 306 -> 1072 -> 1358 -> 687 -> 173,6,1.5806642770767212,5.0,0.2,0.8192791044712067,0.010246807607537387,0.014351776001775896,0.00553914327917282,0.6285163763150994,0.13365964297539937
Cora,rank_pure,5,1805,1546,1805 -> 306 -> 1072 -> 1358 -> 1546,5,1.4835208654403687,4.0,0.25,0.82027996301651,0.01095385546037548,0.014377953990453829,0.005169867060561217,0.8792088444995336,0.18366089732031277
Cora,rank_pure,6,2080,1568,2080 -> 306 -> 1483 -> 1072 -> 1358 -> 1568,6,1.4277757406234741,5.0,0.2,0.8176294008890789,0.008914451292168874,0.013077369648325593,0.005908419497784312,0.603068991219657,0.12820811390237535
Cora,rank_pure,7,2045,754,2045 -> 306 -> 1072 -> 1358 -> 754,5,1.405888319015503,4.0,0.25,0.8199936079978943,0.011598105143461905,0.015061602980352973,0.005169867060561217,0.4221617797222059,0.09252494396080686
Cora,rank_pure,8,2045,1762,2045 -> 306 -> 1072 -> 1358 -> 1762,5,1.3819947242736816,4.0,0.25,0.8224348688125611,0.011592812300384928,0.014770628676878644,0.005169867060561217,0.5434737736493318,0.11667095302484232
Cora,rank_pure,9,2045,1733,2045 -> 306 -> 1072 -> 1358 -> 1733,5,1.3579858541488647,4.0,0.25,0.822519223690033,0.011520730508765615,0.01728816302161923,0.005169867060561217,0.3746288849853636,0.08390898902994491
Cora,rank_pure,10,1787,1568,1787 -> 306 -> 1072 -> 1358 -> 154 -> 1568,6,1.3258709907531738,5.0,0.2,0.8223287264506022,0.009248780489570774,0.013906745133950765,0.0077548005908418816,0.6139204045354338,0.13144869919700383
Cora,rank_set_pred_score_selector,1,2418,1728,2418 -> 65 -> 1293 -> 1013 -> 1729 -> 1358 -> 1728,7,1.245522141456604,6.0,0.3333333333333333,0.686936150278364,0.005265752521845896,0.01184548507048494,0.00738552437223039,0.344499490325747,0.07659230184223553
Cora,rank_set_pred_score_selector,2,1787,1709,1787 -> 1810 -> 1812 -> 1986 -> 1709,5,1.0595234632492065,4.0,0.75,0.7724392676353455,0.008126509822797386,0.005326621295371037,0.009601181683899562,0.05765643507381313,0.017502408206470865
Cora,rank_set_pred_score_selector,3,2045,1661,2045 -> 1013 -> 1851 -> 1661,4,1.0226517915725708,3.0,0.3333333333333333,0.7853917509317399,0.0058234300987986,0.0034352321289819465,0.0022156573116690614,0.20612551382114308,0.04348545854048902
Cora,rank_set_pred_score_selector,4,1787,289,1787 -> 1624 -> 1785 -> 109 -> 289,5,1.0213803052902222,4.0,0.25,0.7833264589309692,0.006846686300855033,0.0005467081529581808,0.0018463810930575697,0.0,0.0009572356984063002
Cora,rank_set_pred_score_selector,5,1839,2413,1839 -> 979 -> 524 -> 1358 -> 1072 -> 1725 -> 2413,7,0.915351152420044,6.0,0.3333333333333333,0.6962863871029444,0.007062993592318343,0.014275175518925598,0.006277695716395804,0.4178611603316762,0.0917933805604638
Cora,rank_set_pred_score_selector,6,2045,1733,2045 -> 1784 -> 1072 -> 1358 -> 1733,5,0.8447703719139099,4.0,0.25,0.8210706090927123,0.00795073870999476,0.013500313371269362,0.005169867060561217,0.22545757931734745,0.05255958803620172
Cora,rank_set_pred_score_selector,7,2045,1762,2045 -> 1784 -> 1072 -> 1358 -> 1762,5,0.8199641108512878,4.0,0.25,0.8209862542152404,0.008022820501614073,0.012166076080781907,0.005169867060561217,0.5525894113011534,0.11745225951676794
Cora,rank_set_pred_score_selector,8,1787,173,1787 -> 109 -> 289 -> 1722 -> 1358 -> 173,6,0.8079756498336792,5.0,0.2,0.8171626230080923,0.002625650971398529,0.007939176795426717,0.005908419497784312,0.6798264871677926,0.14150433595084294
Cora,rank_set_pred_score_selector,9,1805,1546,1805 -> 306 -> 1072 -> 1358 -> 1546,5,0.7733291983604431,4.0,0.25,0.82027996301651,0.01095385546037548,0.014377953990453829,0.005169867060561217,0.8792088444995336,0.18366089732031277
Cora,rank_set_pred_score_selector,10,1805,1568,1805 -> 1072 -> 1358 -> 154 -> 1568,5,0.7542780637741089,4.0,0.25,0.820841121673584,0.007746422721412682,0.010396205877455683,0.00738552437223039,0.4450473799361365,0.09612216808710174
Cora,rank_set_submodular_greedy,1,2080,1620,2080 -> 306 -> 1072 -> 1358 -> 1620,5,0.7980072498321533,4.0,0.25,0.8204239177703858,0.01159894699123499,0.015528655372405498,0.005169867060561217,0.7549742797222061,0.15927426491762792
Cora,rank_set_submodular_greedy,2,1787,1805,1787 -> 1810 -> 719 -> 306 -> 1805,5,0.13575346767902374,4.0,0.5,0.8082309412956239,0.004321532527137694,0.0,0.004800590841949726,0.054507439783778366,0.012821724293535565
Cora,rank_set_submodular_greedy,3,1787,1709,1787 -> 1810 -> 1812 -> 1986 -> 1709,5,0.08226419240236282,4.0,0.75,0.7724392676353455,0.008126509822797386,0.005326621295371037,0.009601181683899562,0.05765643507381313,0.017502408206470865
Cora,rank_set_submodular_greedy,4,1839,2413,1839 -> 1655 -> 1894 -> 1149 -> 1358 -> 1725 -> 2413,7,0.18569408357143402,6.0,0.3333333333333333,0.7005155086517334,0.007203540273910216,0.011535235597735588,0.006646971935007295,0.6229570436927725,0.13186429175165165
Cora,rank_set_submodular_greedy,5,2045,289,2045 -> 1787 -> 109 -> 289,4,0.403132826089859,3.0,0.3333333333333333,0.8320662707090378,0.004374436467568019,0.0003031036365592765,0.0011078286558344752,0.14038523241612122,0.028641419400181747
Cora,rank_set_submodular_greedy,6,1787,1661,1787 -> 2045 -> 1013 -> 1661,4,0.16146424412727356,3.0,0.3333333333333333,0.8134265780448915,0.006518092582994642,0.0024687819125317756,0.0022156573116690614,0.1125079290753801,0.024375361504756356
Cora,rank_set_submodular_greedy,7,2080,326,2080 -> 112 -> 306 -> 1072 -> 1358 -> 326,6,0.044373512268066406,5.0,0.2,0.8198003987471262,0.008600606964920179,0.015258449189699236,0.00553914327917282,0.6129863034110894,0.1309162976697667
