source,target,path_nodes,candidate_rank,avg_node_importance,internal_node_importance,avg_edge_bc,cross_comm_ratio,path_length,path_length_int,shortest_len,same_community,pair_score,stretch_ratio,efficiency_ratio,max_edge_bc,node_importance_entropy,community_diversity,delta_E,delta_LCC,delta_ASP,fragility_score,y_fragility,y_gain,y
68,139,"[68, 1986, 476, 306, 139]",1,0.8098513317108154,0.7903520067532858,0.005779911677665832,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.6086133815217032,0.6,0.008734616568072395,0.006646971935007295,0.234980563563008,0.05314874811383348,0.05314874811383348,-0.03525714475942733,-0.03525714475942733
68,139,"[68, 1358, 1072, 306, 139]",2,0.8229451417922974,0.8121750235557555,0.013921051248622914,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.028758591332667796,1.6092663193588677,0.6,0.014326793835249652,0.005169867060561217,0.7814102615035825,0.16408071665904087,0.16408071665904087,-0.2887650842514972,-0.2887650842514972
68,139,"[68, 1986, 519, 306, 139]",3,0.8276207661628723,0.8199677308400473,0.007657701318667636,0.25,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.609275428085724,0.4,0.006609150571650457,0.006277695716395804,0.5166147071496736,0.10847767994515323,0.10847767994515323,-0.03915613649032138,-0.03915613649032138
68,139,"[68, 1358, 1483, 306, 139]",4,0.8246335577964782,0.8149890502293905,0.008005046501199424,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.013112682014527954,1.6093158463554333,0.6,0.01330627636252632,0.00553914327917282,0.5443919838485138,0.11641656462638243,0.11641656462638243,-0.1225669159745246,-0.1225669159745246
68,139,"[68, 1986, 215, 2045, 139]",5,0.8268413496017455,0.8186687032381693,0.004324709680091644,0.25,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.6092383485968562,0.4,0.0017906392218891842,0.00553914327917282,0.2783936039376185,0.0586106337879485,0.0586106337879485,0.020174788130548967,0.020174788130548967
68,139,"[68, 1986, 519, 2045, 139]",6,0.8328818154335021,0.828736146291097,0.006297050108793314,0.25,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.012923053018143301,1.6092893839123579,0.4,0.007462571456321343,0.006277695716395804,0.16270560702806858,0.038037228274700574,0.038037228274700574,-0.02876508425149721,-0.02876508425149721
68,139,"[68, 1358, 341, 2045, 139]",7,0.8348924994468689,0.8320872863133749,0.005023194721834167,0.5,4.0,4,4.0,0.0,1.67820063829422,1.0,1.0,0.013112682014527954,1.609390557689409,0.6,0.010383332639582576,0.00553914327917282,0.4775190089598951,0.10187279215948118,0.10187279215948118,-0.05716239849120275,-0.05716239849120275
68,139,"[68, 1986, 476, 306, 103, 139]",8,0.8113175710042317,0.7974261969327927,0.004677500573647412,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.012923053018143301,1.7910654562615578,0.5,0.008129245060494922,0.007016248153618898,0.2782066559653176,0.06169952847870905,0.06169952847870905,-0.04876508425149721,-0.04876508425149721
68,139,"[68, 391, 1986, 476, 306, 139]",9,0.8012650132179261,0.7823473602533341,0.002410844069029249,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.004948147234889401,1.790773697013255,0.5,0.00728058538683532,0.007016248153618898,0.06760827868337049,0.019240389152855787,0.019240389152855787,-0.06656777144956491,-0.06656777144956491
68,139,"[68, 1358, 1072, 236, 306, 139]",10,0.8244020481904347,0.8170529127120971,0.008842299936630956,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.028758591332667796,1.7916089382776175,0.5,0.01251888944388932,0.00553914327917282,0.7461563621393195,0.15645448551708876,0.15645448551708876,-0.15326889006122701,-0.15326889006122701
68,139,"[68, 1358, 1072, 306, 103, 139]",11,0.8222290794054667,0.813793459534645,0.011190412230413078,0.4,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.028758591332667796,1.7916144521838642,0.5,0.01860627220002256,0.00553914327917282,0.643578142212224,0.13837379463412294,0.13837379463412294,-0.18780416822308127,-0.18780416822308127
68,139,"[68, 1986, 519, 306, 103, 139]",12,0.8261254330476125,0.8196379899978639,0.006179732286448855,0.2,5.0,5,4.0,0.0,1.67820063829422,1.25,0.8,0.012923053018143301,1.7916156098996168,0.3333333333333333,0.007974589993339748,0.006646971935007295,0.3283757379344596,0.07152377235823075,0.07152377235823075,-0.0050364711275037305,-0.0050364711275037305
68,153,"[68, 1358, 289, 109, 153]",1,0.8273965263366699,0.8190116087595621,0.007933629767504195,0.5,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.013112682014527954,1.6092835557628722,0.6,0.011890247946497928,0.00553914327917282,0.4102156979027871,0.08901489607082572,0.08901489607082572,-0.02335755981136422,-0.02335755981136422
68,153,"[68, 1986, 519, 109, 153]",2,0.8253767895698546,0.8156453808148703,0.006581185608630971,0.25,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.012923053018143301,1.6092033041387515,0.4,0.010582307969807747,0.006646971935007295,0.5118142517219697,0.10925456230631997,0.10925456230631997,0.014915068808003617,0.014915068808003617
68,153,"[68, 1358, 1072, 236, 153]",3,0.8265450119972229,0.8175924181938171,0.010791915363906167,0.5,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.028758591332667796,1.6092676681544829,0.6,0.01036982670107639,0.005169867060561217,0.7287280752687648,0.15196149255840802,0.15196149255840802,-0.1061684462759464,-0.1061684462759464
68,153,"[68, 1986, 1998, 109, 153]",4,0.8155749130249023,0.7993089199066162,0.0049524407376019455,0.25,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.012923053018143301,1.609116017524181,0.4,0.004319238400488451,0.005908419497784312,0.37215706861025666,0.07852247688136044,0.07852247688136044,0.037962962962962976,0.037962962962962976
68,153,"[68, 1986, 519, 306, 153]",5,0.8279701995849609,0.8199677308400473,0.007511067627979679,0.25,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.012923053018143301,1.6092719521882635,0.4,0.007982371101120794,0.006277695716395804,0.26963583605117325,0.0596311939372413,0.0596311939372413,-0.04430548436064734,-0.04430548436064734
68,153,"[68, 1358, 1483, 306, 153]",6,0.8249829912185669,0.8149890502293905,0.007858412810511467,0.5,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.013112682014527954,1.6093108095001578,0.6,0.014761285242535421,0.00553914327917282,0.45120521795138924,0.09836121499896114,0.09836121499896114,-0.09511272141706917,-0.09511272141706917
68,153,"[68, 1358, 1072, 306, 153]",7,0.8232945752143859,0.8121750235557555,0.013774417557934958,0.5,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.028758591332667796,1.6092604234727468,0.6,0.0121119443056944,0.005169867060561217,0.7525008485481166,0.15741289425612556,0.15741289425612556,-0.26,-0.26
68,153,"[68, 1986, 476, 306, 153]",8,0.8102007651329041,0.7903520067532858,0.005633277986977875,0.5,4.0,4,4.0,0.0,1.6799478054046633,1.0,1.0,0.012923053018143301,1.608600756003442,0.6,0.007841158147408128,0.006646971935007295,0.4167906811623592,0.08915338826543802,0.08915338826543802,0.00952159355740867,0.00952159355740867
