dataset,source_file,experiment,method,budget,delta_E,delta_LCC,delta_ASP,fragility_score,num_removed_nodes
Cora,cora_rule_metrics.json,fixed_node_budget_compare,betweenness,5,0.019810569926465293,0.012555391432791718,0.7444029456923236,0.16182697368216753,5.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,betweenness,10,0.02032719271748254,0.01477104874446078,0.7685015513146611,0.16773960684770955,10.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,betweenness,20,0.028233296609306166,0.025110782865583436,1.1425039641459138,0.24983842461913863,20.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,betweenness,30,0.02992063562279447,0.029911373707533162,1.2300284457741135,0.26993849288695376,30.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,betweenness,50,0.03677361362599722,0.048744460856720795,1.4891066987198185,0.3320285695370509,50.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,node_score,5,0.016986908126784023,0.010339734121122546,0.6476284678821527,0.14045635047559316,5.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,node_score,10,0.019131882757106228,0.01292466765140321,0.7509938020972289,0.16302138058284957,10.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,node_score,20,0.02682097911399213,0.024741506646971945,1.065727657123647,0.23377052572911503,20.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,node_score,30,0.0287683035685163,0.03101920236336775,1.146652991615321,0.2532456006958178,30.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,node_score,50,0.033505650976762974,0.04652880354505162,1.303403562863168,0.2926944943813594,50.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,random,5,0.011108187773529066,0.005908419497784312,0.4045161663452683,0.08770987617757903,5.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,random,10,0.011835774750259487,0.010339734121122546,0.4007525605827924,0.0890207156651113,10.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,random,20,0.027192109364344172,0.033973412112259904,0.9136028949262283,0.2071867875758873,20.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,random,30,0.027585069398833026,0.038035450516986646,0.9268763093122763,0.21162346982878313,30.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,random,50,0.03115420107787298,0.05096011816838997,1.0528530152495348,0.24341633074841212,50.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,rule,5,0.016986908126784023,0.010339734121122546,0.6476284678821527,0.14045635047559316,5.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,rule,10,0.018401913573971307,0.01477104874446078,0.6892757690474998,0.15112433873687278,10.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,rule,20,0.021863593243755114,0.021787296898079678,0.867966991269058,0.1910537543105455,20.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,rule,30,0.02709253835673535,0.03101920236336775,1.0820000692218743,0.23964471013241612,30.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,rule,50,0.041049519848745566,0.05465288035450511,1.7456166081778735,0.38740428171687497,50.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,shortest,5,0.01581085279592992,0.006277695716395804,0.6267790118028733,0.13419122176550496,5.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,shortest,10,0.021586724369939886,0.015140324963072382,0.8356265340029347,0.18181612653379187,10.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,shortest,20,0.025566311181670257,0.022525849335302772,1.03482496421067,0.2262018570489232,20.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,shortest,30,0.02954464911299276,0.03101920236336775,1.19912591956201,0.26405072450294625,30.0
Cora,cora_rule_metrics.json,fixed_node_budget_compare,shortest,50,0.03635251462937697,0.04652880354505162,1.522875953264501,0.33772771792267164,50.0
