method,k,delta_E,delta_LCC,delta_ASP
betweenness,1,0.014664611479675349,0.005169867060561217,0.5722900591839748
betweenness,3,0.014664611479675349,0.005169867060561217,0.5722900591839748
betweenness,5,0.019810569926465293,0.012555391432791718,0.7444029456923236
betweenness,10,0.02002886995941819,0.013663220088626304,0.7594296943833649
node_score,1,0.017225739424353514,0.010709010339734037,0.664415118896299
node_score,3,0.018126256531322466,0.011816838995568624,0.7022494039103666
node_score,5,0.01970207312275976,0.01477104874446078,0.7764234601502888
node_score,10,0.026811679378258013,0.024372230428360342,1.065567659542359
random,1,0.011169815717769427,0.006277695716395804,0.40654255507980164
random,3,0.011922533232023608,0.01107828655834564,0.4044472343433698
random,5,0.027174932163309157,0.034711964549483,0.9115013143264141
random,10,0.02758149094669453,0.03840472673559814,0.9263897474032721
rule,1,0.017225739424353514,0.010709010339734037,0.664415118896299
rule,3,0.023081669380104253,0.023264401772525756,0.9309091912900938
rule,5,0.02626498128407466,0.028434268833087084,1.0661591653473215
rule,10,0.04133560695111352,0.057976366322008865,1.7167526378192752
shortest,1,0.014664611479675349,0.005169867060561217,0.5722900591839748
shortest,3,0.014664611479675349,0.005169867060561217,0.5722900591839748
shortest,5,0.01581085279592992,0.006277695716395804,0.6267790118028733
shortest,10,0.01647093274419445,0.0077548005908418816,0.6605137942484465
