method,k,delta_E,delta_LCC,delta_ASP,marginal_delta_E,marginal_delta_LCC,marginal_delta_ASP
rule,1,0.017225739424353514,0.010709010339734037,0.664415118896299,0.017225739424353514,0.010709010339734037,0.664415118896299
rule,3,0.023081669380104253,0.023264401772525756,0.9309091912900938,0.005855929955750738,0.012555391432791718,0.26649407239379475
rule,5,0.02626498128407466,0.028434268833087084,1.0661591653473215,0.0031833119039704066,0.005169867060561328,0.13524997405722772
rule,10,0.04133560695111352,0.057976366322008865,1.7167526378192752,0.015070625667038859,0.02954209748892178,0.6505934724719538
shortest,1,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.014664611479675349,0.005169867060561217,0.5722900591839748
shortest,3,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.0,0.0,0.0
shortest,5,0.01581085279592992,0.006277695716395804,0.6267790118028733,0.0011462413162545704,0.0011078286558345862,0.05448895261889852
shortest,10,0.01647093274419445,0.0077548005908418816,0.6605137942484465,0.0006600799482645303,0.001477104874446078,0.03373478244557315
random,1,0.011169815717769427,0.006277695716395804,0.40654255507980164,0.011169815717769427,0.006277695716395804,0.40654255507980164
random,3,0.011922533232023608,0.01107828655834564,0.4044472343433698,0.0007527175142541809,0.004800590841949837,-0.002095320736431816
random,5,0.027174932163309157,0.034711964549483,0.9115013143264141,0.015252398931285549,0.02363367799113736,0.5070540799830443
random,10,0.02758149094669453,0.03840472673559814,0.9263897474032721,0.00040655878338537177,0.0036927621861151394,0.014888433076857943
betweenness,1,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.014664611479675349,0.005169867060561217,0.5722900591839748
betweenness,3,0.014664611479675349,0.005169867060561217,0.5722900591839748,0.0,0.0,0.0
betweenness,5,0.019810569926465293,0.012555391432791718,0.7444029456923236,0.005145958446789944,0.007385524372230501,0.17211288650834877
betweenness,10,0.02002886995941819,0.013663220088626304,0.7594296943833649,0.00021830003295289502,0.0011078286558345862,0.01502674869104137
node_score,1,0.017225739424353514,0.010709010339734037,0.664415118896299,0.017225739424353514,0.010709010339734037,0.664415118896299
node_score,3,0.018126256531322466,0.011816838995568624,0.7022494039103666,0.000900517106968951,0.0011078286558345862,0.037834285014067603
node_score,5,0.01970207312275976,0.01477104874446078,0.7764234601502888,0.0015758165914372957,0.002954209748892156,0.07417405623992224
node_score,10,0.026811679378258013,0.024372230428360342,1.065567659542359,0.007109606255498252,0.009601181683899562,0.28914419939207026
