dataset,seed,method,beta_scale,ratio,Delta_I
Cora,0,Ours,0.8,0.01,0.022241319623277148
Cora,0,Ours_Adaptive,0.8,0.01,0.04075840313865509
Cora,0,PageRank,0.8,0.01,0.25993912520749884
Cora,0,PageRank_Adaptive,0.8,0.01,0.25792293846370434
Cora,0,Degree,0.8,0.01,0.27728894271331156
Cora,0,Degree_Adaptive,0.8,0.01,0.2589310318356016
Cora,0,Betweenness,0.8,0.01,0.22868823067868052
Cora,0,Betweenness_Adaptive,0.8,0.01,0.24221790488046097
Cora,1,Ours,0.8,0.01,-0.0008818323584987976
Cora,1,Ours_Adaptive,0.8,0.01,-0.007964940633701519
Cora,1,PageRank,0.8,0.01,0.18472115008821755
Cora,1,PageRank_Adaptive,0.8,0.01,0.19592929805975776
Cora,1,Degree,0.8,0.01,0.18397394022344826
Cora,1,Degree_Adaptive,0.8,0.01,0.1802953685815069
Cora,1,Betweenness,0.8,0.01,0.18368539064863051
Cora,1,Betweenness_Adaptive,0.8,0.01,0.1860077212306643
Cora,2,Ours,0.8,0.01,0.005494197558390935
Cora,2,Ours_Adaptive,0.8,0.01,0.022758426978125496
Cora,2,PageRank,0.8,0.01,0.23164499694566776
Cora,2,PageRank_Adaptive,0.8,0.01,0.22910426802901582
Cora,2,Degree,0.8,0.01,0.22240598270329773
Cora,2,Degree_Adaptive,0.8,0.01,0.22402281019571244
Cora,2,Betweenness,0.8,0.01,0.21362891917304624
Cora,2,Betweenness_Adaptive,0.8,0.01,0.2264480514343345
Cora,3,Ours,0.8,0.01,0.031486920847933135
Cora,3,Ours_Adaptive,0.8,0.01,-0.00046322128330626505
Cora,3,PageRank,0.8,0.01,0.3518014445798356
Cora,3,PageRank_Adaptive,0.8,0.01,0.34792725069865243
Cora,3,Degree,0.8,0.01,0.35844975259816236
Cora,3,Degree_Adaptive,0.8,0.01,0.35089268305215066
Cora,3,Betweenness,0.8,0.01,0.33417575567363456
Cora,3,Betweenness_Adaptive,0.8,0.01,0.3287147166906549
Cora,4,Ours,0.8,0.01,0.023162435315688776
Cora,4,Ours_Adaptive,0.8,0.01,0.019862164194808477
Cora,4,PageRank,0.8,0.01,0.22092394479777372
Cora,4,PageRank_Adaptive,0.8,0.01,0.22115091081170093
Cora,4,Degree,0.8,0.01,0.21547676046352077
Cora,4,Degree_Adaptive,0.8,0.01,0.21156159672327624
Cora,4,Betweenness,0.8,0.01,0.21190835035566516
Cora,4,Betweenness_Adaptive,0.8,0.01,0.21357047520513217
Cora,0,Ours,0.8,0.05,0.04206487217386659
Cora,0,Ours_Adaptive,0.8,0.05,0.06366041976685584
Cora,0,PageRank,0.8,0.05,0.3043890955138042
Cora,0,PageRank_Adaptive,0.8,0.05,0.2978131376109623
Cora,0,Degree,0.8,0.05,0.3058699551733408
Cora,0,Degree_Adaptive,0.8,0.05,0.3019882703634353
Cora,0,Betweenness,0.8,0.05,0.27443296427442915
Cora,0,Betweenness_Adaptive,0.8,0.05,0.2737419067514534
Cora,1,Ours,0.8,0.05,-0.02815229547253524
Cora,1,Ours_Adaptive,0.8,0.05,-0.009567788950945668
Cora,1,PageRank,0.8,0.05,0.25389503958123205
Cora,1,PageRank_Adaptive,0.8,0.05,0.25011934863473256
Cora,1,Degree,0.8,0.05,0.24715115138662208
Cora,1,Degree_Adaptive,0.8,0.05,0.24766085581373581
Cora,1,Betweenness,0.8,0.05,0.18875511996867536
Cora,1,Betweenness_Adaptive,0.8,0.05,0.18919641669636061
Cora,2,Ours,0.8,0.05,0.029193387847815087
Cora,2,Ours_Adaptive,0.8,0.05,0.04037671332652367
Cora,2,PageRank,0.8,0.05,0.27201859862190053
Cora,2,PageRank_Adaptive,0.8,0.05,0.27629856185448276
Cora,2,Degree,0.8,0.05,0.2692893467054712
Cora,2,Degree_Adaptive,0.8,0.05,0.27133628564279305
Cora,2,Betweenness,0.8,0.05,0.22339272235110308
Cora,2,Betweenness_Adaptive,0.8,0.05,0.22633970679518794
Cora,3,Ours,0.8,0.05,0.015018222945377446
