dataset,method,beta_scale,ratio,mean,std
CS,Betweenness,0.8,0.01,0.4454316439549024,0.0247511854015138
CS,Betweenness,0.8,0.05,0.5870708355657188,0.03578910113102692
CS,Betweenness,0.8,0.1,0.6186600579225539,0.037711121855823954
CS,Betweenness,0.9,0.01,0.6919679512737976,0.01623247365915228
CS,Betweenness,0.9,0.05,0.8222367273817381,0.016278123173189153
CS,Betweenness,0.9,0.1,0.8416650640675123,0.014409639307078576
CS,Betweenness,1.0,0.01,0.8434361345660595,0.011535057099447448
CS,Betweenness,1.0,0.05,0.9370551597498645,0.010774665943159066
CS,Betweenness,1.0,0.1,0.9471749936674293,0.008046670799826948
CS,Betweenness,1.1,0.01,0.8874683805394741,0.005448820860320082
CS,Betweenness,1.1,0.05,0.9753669907767936,0.003960939170367371
CS,Betweenness,1.1,0.1,0.9812219070407995,0.0025754711482529288
CS,Betweenness,1.2,0.01,0.848626443171345,0.011642139434074165
CS,Betweenness,1.2,0.05,0.9859020225867556,0.0021821436814102287
CS,Betweenness,1.2,0.1,0.9904577426850054,0.0012783272202621858
CS,Betweenness,1.5,0.01,0.5652084340787897,0.02591500524101565
CS,Betweenness,1.5,0.05,0.9884519662372154,0.0025358853936628123
CS,Betweenness,1.5,0.1,0.996319023553238,0.0006810085129126296
CS,Betweenness,2.0,0.01,0.29977049022531993,0.009975222626920702
CS,Betweenness,2.0,0.05,0.8946311068708462,0.020448189357013556
CS,Betweenness,2.0,0.1,0.9961625056034865,0.0009476378567059166
CS,Betweenness_Adaptive,0.8,0.01,0.435060294996031,0.03928407774971421
CS,Betweenness_Adaptive,0.8,0.05,0.584964262680239,0.039666864122951694
CS,Betweenness_Adaptive,0.8,0.1,0.6183729318835801,0.0381612460151905
CS,Betweenness_Adaptive,0.9,0.01,0.6985452007042529,0.01591410587801254
CS,Betweenness_Adaptive,0.9,0.05,0.8222706994252296,0.014466729506526704
CS,Betweenness_Adaptive,0.9,0.1,0.8432816917678773,0.014189761301835245
CS,Betweenness_Adaptive,1.0,0.01,0.8414796435776613,0.012581949481218378
CS,Betweenness_Adaptive,1.0,0.05,0.9360796716370201,0.010106837104336752
CS,Betweenness_Adaptive,1.0,0.1,0.946974397479803,0.008266416501748452
CS,Betweenness_Adaptive,1.1,0.01,0.8800399796965082,0.003583640306568589
CS,Betweenness_Adaptive,1.1,0.05,0.9758879626215767,0.003526130627901951
CS,Betweenness_Adaptive,1.1,0.1,0.9812468412120545,0.0025675088280486813
CS,Betweenness_Adaptive,1.2,0.01,0.8542119169210316,0.010123014780275892
CS,Betweenness_Adaptive,1.2,0.05,0.9858645835708952,0.002631792879923808
CS,Betweenness_Adaptive,1.2,0.1,0.9904073265907354,0.001298662548333836
CS,Betweenness_Adaptive,1.5,0.01,0.5621753976089718,0.018752922662680093
CS,Betweenness_Adaptive,1.5,0.05,0.9888740663558664,0.0024850374935475603
CS,Betweenness_Adaptive,1.5,0.1,0.9963575908438191,0.0006172795628950684
CS,Betweenness_Adaptive,2.0,0.01,0.29824561870356486,0.00591841490183589
CS,Betweenness_Adaptive,2.0,0.05,0.8952113376588005,0.02025672250487249
CS,Betweenness_Adaptive,2.0,0.1,0.9961383546395883,0.000977097290493637
CS,Degree,0.8,0.01,0.528093339257546,0.025478619157277938
CS,Degree,0.8,0.05,0.6221413206597934,0.028440313010000856
CS,Degree,0.8,0.1,0.6433907421441172,0.033006639897907475
CS,Degree,0.9,0.01,0.7797269659734519,0.009701566780943933
CS,Degree,0.9,0.05,0.8427201068343898,0.01068145641278392
CS,Degree,0.9,0.1,0.8545232743035795,0.009980465357561679
CS,Degree,1.0,0.01,0.9130222072920662,0.008340315069903232
CS,Degree,1.0,0.05,0.947635761345456,0.006654614294208121
CS,Degree,1.0,0.1,0.9525789486583095,0.006301222745061576
CS,Degree,1.1,0.01,0.9625847387080657,0.0019158174868251377
CS,Degree,1.1,0.05,0.9813856963589693,0.001611846902165672
CS,Degree,1.1,0.1,0.9836612260557388,0.0016744679813844542
CS,Degree,1.2,0.01,0.9707999830065018,0.0020386874192710133
CS,Degree,1.2,0.05,0.9903759817739243,0.0008290477261822142
CS,Degree,1.2,0.1,0.9919630458545893,0.0008494287436881779
CS,Degree,1.5,0.01,0.8471991728429031,0.009926238684248164
CS,Degree,1.5,0.05,0.9963746324889025,0.00024209655172655707
CS,Degree,1.5,0.1,0.99742694023443,0.0002439249061558048
CS,Degree,2.0,0.01,0.4165183851440002,0.013438550922185719
CS,Degree,2.0,0.05,0.996581061537842,0.00015323229349490085
CS,Degree,2.0,0.1,0.9987415875754729,8.465938506115149e-05
CS,Degree_Adaptive,0.8,0.01,0.527915005939049,0.025297389749417313
CS,Degree_Adaptive,0.8,0.05,0.6217411865472737,0.0320882573382587
CS,Degree_Adaptive,0.8,0.1,0.6442243072547621,0.03009432661375556
CS,Degree_Adaptive,0.9,0.01,0.7806476622370624,0.008126121393192914
CS,Degree_Adaptive,0.9,0.05,0.8434801459487472,0.00881707653293722
CS,Degree_Adaptive,0.9,0.1,0.8549849975959907,0.010609302630025397
CS,Degree_Adaptive,1.0,0.01,0.9146183119568398,0.007327816765076126
CS,Degree_Adaptive,1.0,0.05,0.9471803717010185,0.00652071996737072
CS,Degree_Adaptive,1.0,0.1,0.9524185747064404,0.006441978764806998
CS,Degree_Adaptive,1.1,0.01,0.9608951242248093,0.0021774023970510684
CS,Degree_Adaptive,1.1,0.05,0.9812307192655304,0.0018471269550420734
CS,Degree_Adaptive,1.1,0.1,0.9836986720054781,0.0016141051418475756
CS,Degree_Adaptive,1.2,0.01,0.970653928545846,0.0013568597343310237
CS,Degree_Adaptive,1.2,0.05,0.9903111131357558,0.00090618588783653
CS,Degree_Adaptive,1.2,0.1,0.9918648285362373,0.0007828396603191316
CS,Degree_Adaptive,1.5,0.01,0.8503115173565792,0.011641683025365118
CS,Degree_Adaptive,1.5,0.05,0.9963921460512646,0.00019229177189539394
CS,Degree_Adaptive,1.5,0.1,0.9974220406769005,0.00023861538886814408
CS,Degree_Adaptive,2.0,0.01,0.41704089510107634,0.02453243642990119
CS,Degree_Adaptive,2.0,0.05,0.9965905242048898,0.00019312523109618065
CS,Degree_Adaptive,2.0,0.1,0.9987286960943447,0.00010484483650286218
CS,Ours,0.8,0.01,0.031079260497685834,0.06179697622485823
CS,Ours,0.8,0.05,0.20143097979502472,0.05141455067509619
