dataset,seed,method,beta_scale,Delta_I
Cora,0,Ours,0.8,0.04206487217386659
Cora,0,PageRank,0.8,0.3043890955138042
Cora,0,Degree,0.8,0.3058699551733408
Cora,0,Betweenness,0.8,0.27443296427442915
Cora,1,Ours,0.8,-0.02815229547253524
Cora,1,PageRank,0.8,0.25389503958123205
Cora,1,Degree,0.8,0.24715115138662208
Cora,1,Betweenness,0.8,0.18875511996867536
Cora,2,Ours,0.8,0.029193387847815087
Cora,2,PageRank,0.8,0.27201859862190053
Cora,2,Degree,0.8,0.2692893467054712
Cora,2,Betweenness,0.8,0.22339272235110308
Cora,3,Ours,0.8,0.015018222945377446
Cora,3,PageRank,0.8,0.40501643947751453
Cora,3,Degree,0.8,0.4041192073497976
Cora,3,Betweenness,0.8,0.3615046363367004
Cora,4,Ours,0.8,0.022562629543836595
Cora,4,PageRank,0.8,0.27258283161620966
Cora,4,Degree,0.8,0.2740628562368298
Cora,4,Betweenness,0.8,0.23356152545573158
Cora,0,Ours,0.9,0.07770778600995824
Cora,0,PageRank,0.9,0.36819142980430736
Cora,0,Degree,0.9,0.3751929419047258
Cora,0,Betweenness,0.9,0.3354146805054309
Cora,1,Ours,0.9,0.022113020909559356
Cora,1,PageRank,0.9,0.32312023686081925
Cora,1,Degree,0.9,0.3256572668896739
Cora,1,Betweenness,0.9,0.25710705170852916
Cora,2,Ours,0.9,0.0643996577153144
Cora,2,PageRank,0.9,0.3422605207461946
Cora,2,Degree,0.9,0.34215207458853536
Cora,2,Betweenness,0.9,0.30120590391803653
Cora,3,Ours,0.9,0.023968933593762808
Cora,3,PageRank,0.9,0.4622101648150797
Cora,3,Degree,0.9,0.4639068270458204
Cora,3,Betweenness,0.9,0.41879143804758084
Cora,4,Ours,0.9,0.028551631759239176
Cora,4,PageRank,0.9,0.33417185666868227
Cora,4,Degree,0.9,0.33174103461780685
Cora,4,Betweenness,0.9,0.2869576355818518
Cora,0,Ours,1.0,0.11641161297787465
Cora,0,PageRank,1.0,0.44832924225848486
Cora,0,Degree,1.0,0.45396854161060685
Cora,0,Betweenness,1.0,0.40439285608532743
Cora,1,Ours,1.0,-0.046145435971384215
Cora,1,PageRank,1.0,0.38070949888140376
Cora,1,Degree,1.0,0.3713253806168382
Cora,1,Betweenness,1.0,0.3191677371712889
Cora,2,Ours,1.0,0.07657841146562555
Cora,2,PageRank,1.0,0.4166282390347875
Cora,2,Degree,1.0,0.41756318589546004
Cora,2,Betweenness,1.0,0.3632160605229415
Cora,3,Ours,1.0,0.017470122954770198
Cora,3,PageRank,1.0,0.5248881617913377
Cora,3,Degree,1.0,0.5249629924829357
Cora,3,Betweenness,1.0,0.48015790569004424
Cora,4,Ours,1.0,0.09959627792656055
Cora,4,PageRank,1.0,0.415254544253306
Cora,4,Degree,1.0,0.41178308459927243
Cora,4,Betweenness,1.0,0.3834643570643316
Cora,0,Ours,1.1,0.17047676424674774
Cora,0,PageRank,1.1,0.5277348164360567
Cora,0,Degree,1.1,0.5261483889052281
Cora,0,Betweenness,1.1,0.4949908236477068
Cora,1,Ours,1.1,0.027684880692849186
Cora,1,PageRank,1.1,0.4796869888324964
Cora,1,Degree,1.1,0.47988779462241793
Cora,1,Betweenness,1.1,0.4205958034333033
Cora,2,Ours,1.1,0.08305762141751388
Cora,2,PageRank,1.1,0.4898774540981827
Cora,2,Degree,1.1,0.4792007735951307
Cora,2,Betweenness,1.1,0.4381917207821386
Cora,3,Ours,1.1,0.0715504555842238
Cora,3,PageRank,1.1,0.5883179314437228
Cora,3,Degree,1.1,0.592481065986089
Cora,3,Betweenness,1.1,0.5473360462243892
Cora,4,Ours,1.1,0.03654157035048951
Cora,4,PageRank,1.1,0.46426932014524336
Cora,4,Degree,1.1,0.4736358774426692
Cora,4,Betweenness,1.1,0.43728170462789406
Cora,0,Ours,1.2,0.24772696786790632
Cora,0,PageRank,1.2,0.6132344256488806
Cora,0,Degree,1.2,0.6198421766019309
Cora,0,Betweenness,1.2,0.5627759424182974
Cora,1,Ours,1.2,0.04976739576118514
Cora,1,PageRank,1.2,0.5622371568397924
Cora,1,Degree,1.2,0.5630109560908215
Cora,1,Betweenness,1.2,0.5015892270551516
Cora,2,Ours,1.2,0.13030868270580617
Cora,2,PageRank,1.2,0.5400583461896612
Cora,2,Degree,1.2,0.5460547759190236
Cora,2,Betweenness,1.2,0.49975967989270226
Cora,3,Ours,1.2,0.07413486716908639
Cora,3,PageRank,1.2,0.6569966193505429
Cora,3,Degree,1.2,0.6564907934181076
Cora,3,Betweenness,1.2,0.618165319638986
Cora,4,Ours,1.2,0.08826006579142097
Cora,4,PageRank,1.2,0.5681696744440536
Cora,4,Degree,1.2,0.5656593179002893
Cora,4,Betweenness,1.2,0.530692612833963
Cora,0,Ours,1.5,0.31532814571557066
Cora,0,PageRank,1.5,0.786208131120665
Cora,0,Degree,1.5,0.7843272147624882
Cora,0,Betweenness,1.5,0.75026954703958
Cora,1,Ours,1.5,0.10822737341572997
Cora,1,PageRank,1.5,0.7603603456284382
Cora,1,Degree,1.5,0.7621100360197332
Cora,1,Betweenness,1.5,0.7170288560333512
Cora,2,Ours,1.5,0.1431275496427626
Cora,2,PageRank,1.5,0.7519603626633329
Cora,2,Degree,1.5,0.7472673814136447
Cora,2,Betweenness,1.5,0.7133539742120896
Cora,3,Ours,1.5,0.13653280655369093
Cora,3,PageRank,1.5,0.8135607743867019
Cora,3,Degree,1.5,0.8189871197660844
Cora,3,Betweenness,1.5,0.7820271863052282
Cora,4,Ours,1.5,0.18712470980364726
Cora,4,PageRank,1.5,0.773868617304039
Cora,4,Degree,1.5,0.7759946974519245
Cora,4,Betweenness,1.5,0.7423396504585226
Cora,0,Ours,2.0,0.4809461795479939
Cora,0,PageRank,2.0,0.9487124721693713
Cora,0,Degree,2.0,0.9491282494360962
Cora,0,Betweenness,2.0,0.9348635810096861
Cora,1,Ours,2.0,0.2505692157617194
Cora,1,PageRank,2.0,0.9415465426368613
Cora,1,Degree,2.0,0.9412168081401778
Cora,1,Betweenness,2.0,0.9211731314185754
Cora,2,Ours,2.0,0.18822144850530662
Cora,2,PageRank,2.0,0.9371618897879147
Cora,2,Degree,2.0,0.9368759662530026
Cora,2,Betweenness,2.0,0.9193569031108733
Cora,3,Ours,2.0,0.20619707077699884
Cora,3,PageRank,2.0,0.9527980078521819
Cora,3,Degree,2.0,0.9531137359804568
Cora,3,Betweenness,2.0,0.9360832531067247
Cora,4,Ours,2.0,0.3424884465114293
Cora,4,PageRank,2.0,0.9448404176520475
Cora,4,Degree,2.0,0.9459909071141623
Cora,4,Betweenness,2.0,0.9319814173341049
CiteSeer,0,Ours,0.8,0.09071459645276488
CiteSeer,0,PageRank,0.8,0.5512989111426738
CiteSeer,0,Degree,0.8,0.5506598013531548
CiteSeer,0,Betweenness,0.8,0.46772472987812774
CiteSeer,1,Ours,0.8,0.1099988048625975
CiteSeer,1,PageRank,0.8,0.4836138462034497
CiteSeer,1,Degree,0.8,0.47165248631763385
CiteSeer,1,Betweenness,0.8,0.39803821663244515
CiteSeer,2,Ours,0.8,0.01226393834983728
CiteSeer,2,PageRank,0.8,0.41359313963056793
CiteSeer,2,Degree,0.8,0.40133841755217375
CiteSeer,2,Betweenness,0.8,0.35288212596866597
CiteSeer,3,Ours,0.8,0.05241569813239441
CiteSeer,3,PageRank,0.8,0.6164208662221599
CiteSeer,3,Degree,0.8,0.6153854632210674
CiteSeer,3,Betweenness,0.8,0.5211017059958533
CiteSeer,4,Ours,0.8,0.018028944345134447
CiteSeer,4,PageRank,0.8,0.6437792868900386
CiteSeer,4,Degree,0.8,0.6489561559174836
CiteSeer,4,Betweenness,0.8,0.5420078364557293
CiteSeer,0,Ours,0.9,0.09117605817219765
CiteSeer,0,PageRank,0.9,0.636739280788437
CiteSeer,0,Degree,0.9,0.6350148504633323
CiteSeer,0,Betweenness,0.9,0.5464830285344464
CiteSeer,1,Ours,0.9,0.06772565218526004
CiteSeer,1,PageRank,0.9,0.5714346769345031
CiteSeer,1,Degree,0.9,0.5701190678612891
CiteSeer,1,Betweenness,0.9,0.48410344604773786
CiteSeer,2,Ours,0.9,0.005938110828149421
CiteSeer,2,PageRank,0.9,0.4987679108780352
CiteSeer,2,Degree,0.9,0.48906117328202825
CiteSeer,2,Betweenness,0.9,0.4182035369551976
CiteSeer,3,Ours,0.9,0.03741227204113397
CiteSeer,3,PageRank,0.9,0.7087631104946964
CiteSeer,3,Degree,0.9,0.7096045530377183
CiteSeer,3,Betweenness,0.9,0.5919898530607283
CiteSeer,4,Ours,0.9,0.045730920915296513
CiteSeer,4,PageRank,0.9,0.7298621868226484
CiteSeer,4,Degree,0.9,0.7347476794752942
CiteSeer,4,Betweenness,0.9,0.594814321524113
CiteSeer,0,Ours,1.0,0.162310693566529
CiteSeer,0,PageRank,1.0,0.7216592646892028
CiteSeer,0,Degree,1.0,0.7139103668040006
CiteSeer,0,Betweenness,1.0,0.6076727964711321
CiteSeer,1,Ours,1.0,0.14250266626926833
CiteSeer,1,PageRank,1.0,0.6908046306067958
CiteSeer,1,Degree,1.0,0.6843047386868204
CiteSeer,1,Betweenness,1.0,0.6024895486563675
CiteSeer,2,Ours,1.0,0.03367839291639567
CiteSeer,2,PageRank,1.0,0.5756558357779433
CiteSeer,2,Degree,1.0,0.5671046330092806
CiteSeer,2,Betweenness,1.0,0.4782599566384544
CiteSeer,3,Ours,1.0,0.10312521997881596
CiteSeer,3,PageRank,1.0,0.8007046633751227
CiteSeer,3,Degree,1.0,0.8033915300408355
CiteSeer,3,Betweenness,1.0,0.7067802528095718
CiteSeer,4,Ours,1.0,0.0630728021962666
CiteSeer,4,PageRank,1.0,0.7905112497547963
CiteSeer,4,Degree,1.0,0.7964827544782885
