dataset,seed,method,k_ratio,precision
Cora,0,Ours,0.01,0.0
Cora,0,PageRank,0.01,0.3333333333333333
Cora,0,Degree,0.01,0.37037037037037035
Cora,0,Betweenness,0.01,0.25925925925925924
Cora,0,Ours,0.05,0.08888888888888889
Cora,0,PageRank,0.05,0.2814814814814815
Cora,0,Degree,0.05,0.32592592592592595
Cora,0,Betweenness,0.05,0.23703703703703705
Cora,0,Ours,0.1,0.1111111111111111
Cora,0,PageRank,0.1,0.26296296296296295
Cora,0,Degree,0.1,0.3148148148148148
Cora,0,Betweenness,0.1,0.26666666666666666
Cora,1,Ours,0.01,0.0
Cora,1,PageRank,0.01,0.3333333333333333
Cora,1,Degree,0.01,0.37037037037037035
Cora,1,Betweenness,0.01,0.25925925925925924
Cora,1,Ours,0.05,0.05185185185185185
Cora,1,PageRank,0.05,0.2814814814814815
Cora,1,Degree,0.05,0.32592592592592595
Cora,1,Betweenness,0.05,0.23703703703703705
Cora,1,Ours,0.1,0.09259259259259259
Cora,1,PageRank,0.1,0.26296296296296295
Cora,1,Degree,0.1,0.3148148148148148
Cora,1,Betweenness,0.1,0.26666666666666666
Cora,2,Ours,0.01,0.0
Cora,2,PageRank,0.01,0.3333333333333333
Cora,2,Degree,0.01,0.37037037037037035
Cora,2,Betweenness,0.01,0.25925925925925924
Cora,2,Ours,0.05,0.08148148148148149
Cora,2,PageRank,0.05,0.2814814814814815
Cora,2,Degree,0.05,0.32592592592592595
Cora,2,Betweenness,0.05,0.23703703703703705
Cora,2,Ours,0.1,0.1037037037037037
Cora,2,PageRank,0.1,0.26296296296296295
Cora,2,Degree,0.1,0.3148148148148148
Cora,2,Betweenness,0.1,0.26666666666666666
Cora,3,Ours,0.01,0.0
Cora,3,PageRank,0.01,0.3333333333333333
Cora,3,Degree,0.01,0.37037037037037035
Cora,3,Betweenness,0.01,0.25925925925925924
Cora,3,Ours,0.05,0.06666666666666667
Cora,3,PageRank,0.05,0.2814814814814815
Cora,3,Degree,0.05,0.32592592592592595
Cora,3,Betweenness,0.05,0.23703703703703705
Cora,3,Ours,0.1,0.1111111111111111
Cora,3,PageRank,0.1,0.26296296296296295
Cora,3,Degree,0.1,0.3148148148148148
Cora,3,Betweenness,0.1,0.26666666666666666
Cora,4,Ours,0.01,0.0
Cora,4,PageRank,0.01,0.3333333333333333
Cora,4,Degree,0.01,0.37037037037037035
Cora,4,Betweenness,0.01,0.25925925925925924
Cora,4,Ours,0.05,0.07407407407407407
Cora,4,PageRank,0.05,0.2814814814814815
Cora,4,Degree,0.05,0.32592592592592595
Cora,4,Betweenness,0.05,0.23703703703703705
Cora,4,Ours,0.1,0.0962962962962963
Cora,4,PageRank,0.1,0.26296296296296295
Cora,4,Degree,0.1,0.3148148148148148
Cora,4,Betweenness,0.1,0.26666666666666666
CiteSeer,0,Ours,0.01,0.0
CiteSeer,0,PageRank,0.01,0.3125
CiteSeer,0,Degree,0.01,0.46875
CiteSeer,0,Betweenness,0.01,0.09375
CiteSeer,0,Ours,0.05,0.05521472392638037
CiteSeer,0,PageRank,0.05,0.2883435582822086
CiteSeer,0,Degree,0.05,0.5766871165644172
CiteSeer,0,Betweenness,0.05,0.13496932515337423
CiteSeer,0,Ours,0.1,0.10091743119266056
CiteSeer,0,PageRank,0.1,0.27522935779816515
CiteSeer,0,Degree,0.1,0.4923547400611621
CiteSeer,0,Betweenness,0.1,0.2018348623853211
CiteSeer,1,Ours,0.01,0.0
CiteSeer,1,PageRank,0.01,0.3125
CiteSeer,1,Degree,0.01,0.46875
CiteSeer,1,Betweenness,0.01,0.09375
CiteSeer,1,Ours,0.05,0.049079754601226995
CiteSeer,1,PageRank,0.05,0.2883435582822086
CiteSeer,1,Degree,0.05,0.5766871165644172
CiteSeer,1,Betweenness,0.05,0.13496932515337423
CiteSeer,1,Ours,0.1,0.10703363914373089
CiteSeer,1,PageRank,0.1,0.27522935779816515
CiteSeer,1,Degree,0.1,0.4923547400611621
CiteSeer,1,Betweenness,0.1,0.2018348623853211
CiteSeer,2,Ours,0.01,0.0
CiteSeer,2,PageRank,0.01,0.3125
CiteSeer,2,Degree,0.01,0.46875
CiteSeer,2,Betweenness,0.01,0.09375
CiteSeer,2,Ours,0.05,0.049079754601226995
CiteSeer,2,PageRank,0.05,0.2883435582822086
CiteSeer,2,Degree,0.05,0.5766871165644172
CiteSeer,2,Betweenness,0.05,0.13496932515337423
CiteSeer,2,Ours,0.1,0.1162079510703364
CiteSeer,2,PageRank,0.1,0.27522935779816515
CiteSeer,2,Degree,0.1,0.4923547400611621
CiteSeer,2,Betweenness,0.1,0.2018348623853211
CiteSeer,3,Ours,0.01,0.0
CiteSeer,3,PageRank,0.01,0.3125
CiteSeer,3,Degree,0.01,0.46875
CiteSeer,3,Betweenness,0.01,0.09375
CiteSeer,3,Ours,0.05,0.05521472392638037
CiteSeer,3,PageRank,0.05,0.2883435582822086
CiteSeer,3,Degree,0.05,0.5766871165644172
CiteSeer,3,Betweenness,0.05,0.13496932515337423
CiteSeer,3,Ours,0.1,0.10397553516819572
CiteSeer,3,PageRank,0.1,0.27522935779816515
CiteSeer,3,Degree,0.1,0.4923547400611621
CiteSeer,3,Betweenness,0.1,0.2018348623853211
CiteSeer,4,Ours,0.01,0.0
CiteSeer,4,PageRank,0.01,0.3125
CiteSeer,4,Degree,0.01,0.46875
CiteSeer,4,Betweenness,0.01,0.09375
CiteSeer,4,Ours,0.05,0.049079754601226995
CiteSeer,4,PageRank,0.05,0.2883435582822086
CiteSeer,4,Degree,0.05,0.5766871165644172
CiteSeer,4,Betweenness,0.05,0.13496932515337423
CiteSeer,4,Ours,0.1,0.11314984709480122
CiteSeer,4,PageRank,0.1,0.27522935779816515
CiteSeer,4,Degree,0.1,0.4923547400611621
CiteSeer,4,Betweenness,0.1,0.2018348623853211
PubMed,0,Ours,0.01,0.0
PubMed,0,PageRank,0.01,0.20304568527918782
PubMed,0,Degree,0.01,0.5329949238578681
PubMed,0,Betweenness,0.01,0.1319796954314721
PubMed,0,Ours,0.05,0.029441624365482234
PubMed,0,PageRank,0.05,0.33908629441624366
PubMed,0,Degree,0.05,0.5898477157360406
PubMed,0,Betweenness,0.05,0.3208121827411167
PubMed,0,Ours,0.1,0.08625063419583967
PubMed,0,PageRank,0.1,0.44951801116184675
PubMed,0,Degree,0.1,0.6184677828513445
PubMed,0,Betweenness,0.1,0.426179604261796
PubMed,1,Ours,0.01,0.0
PubMed,1,PageRank,0.01,0.20304568527918782
PubMed,1,Degree,0.01,0.5329949238578681
PubMed,1,Betweenness,0.01,0.1319796954314721
PubMed,1,Ours,0.05,0.026395939086294416
PubMed,1,PageRank,0.05,0.33908629441624366
PubMed,1,Degree,0.05,0.5898477157360406
PubMed,1,Betweenness,0.05,0.3208121827411167
PubMed,1,Ours,0.1,0.09030948756976154
PubMed,1,PageRank,0.1,0.44951801116184675
PubMed,1,Degree,0.1,0.6184677828513445
PubMed,1,Betweenness,0.1,0.426179604261796
PubMed,2,Ours,0.01,0.0
PubMed,2,PageRank,0.01,0.20304568527918782
PubMed,2,Degree,0.01,0.5329949238578681
PubMed,2,Betweenness,0.01,0.1319796954314721
PubMed,2,Ours,0.05,0.030456852791878174
PubMed,2,PageRank,0.05,0.33908629441624366
PubMed,2,Degree,0.05,0.5898477157360406
PubMed,2,Betweenness,0.05,0.3208121827411167
PubMed,2,Ours,0.1,0.091324200913242
PubMed,2,PageRank,0.1,0.44951801116184675
PubMed,2,Degree,0.1,0.6184677828513445
PubMed,2,Betweenness,0.1,0.426179604261796
PubMed,3,Ours,0.01,0.005076142131979695
PubMed,3,PageRank,0.01,0.20304568527918782
PubMed,3,Degree,0.01,0.5329949238578681
PubMed,3,Betweenness,0.01,0.1319796954314721
PubMed,3,Ours,0.05,0.029441624365482234
PubMed,3,PageRank,0.05,0.33908629441624366
PubMed,3,Degree,0.05,0.5898477157360406
PubMed,3,Betweenness,0.05,0.3208121827411167
PubMed,3,Ours,0.1,0.08726534753932014
PubMed,3,PageRank,0.1,0.44951801116184675
