node,degree_centrality,closeness,betweenness,clustering_coeff,k_shell
0,0.00027274710888064587,0.19155494717923532,3.079743007745516e-05,0.5,4
1,0.0002181976871045167,0.20568633171016315,6.825633222190164e-06,0.6666666666666666,4
2,0.0003818459524329042,0.2069588385377859,0.00026304665801425004,0.2857142857142857,5
3,0.00032729653065677506,0.19682832816174023,4.2283281829622175e-05,0.13333333333333333,4
4,0.00010909884355225835,0.16712401199733798,8.629918088100916e-06,0.0,2
5,0.0002181976871045167,0.17571168407936355,2.1213647170910844e-05,0.16666666666666666,4
6,0.00010909884355225835,0.15632301526392087,3.5781234191037273e-06,0.0,2
7,0.0002181976871045167,0.15121794290145096,2.8628438677642888e-05,0.3333333333333333,2
8,0.0004363953742090334,0.1843319825843883,5.0810382832975854e-05,0.35714285714285715,5
9,0.0006545930613135501,0.20687009117992236,0.00010690028325655092,0.4696969696969697,8
10,0.0008182413266419376,0.2032169739161281,0.0002794025935263943,0.20952380952380953,7
11,0.0004363953742090334,0.1994451395310885,2.0072728042397856e-05,0.42857142857142855,7
12,0.00016364826532838753,0.16070974585557865,3.8013534082274777e-07,0.6666666666666666,3
13,5.4549421776129175e-05,0.17013930782295564,0.0,0.0,1
14,0.0013091861226271003,0.21778696509611042,0.0005708793213827541,0.21014492753623187,9
15,0.00010909884355225835,0.14208319446920317,5.810962615525855e-06,0.0,2
16,0.0007091424830896793,0.20116758844701957,0.00039064563159521326,0.10256410256410256,6
17,0.0002181976871045167,0.1956895355415835,3.529840914556563e-05,0.16666666666666666,3
18,0.0004363953742090334,0.2045388614910852,0.0002055223532673275,0.4642857142857143,5
19,5.4549421776129175e-05,0.1511207102640408,0.0,0.0,1
20,0.00016364826532838753,0.14757450371109787,0.00010307198412547725,0.0,3
21,0.00016364826532838753,0.17245531514581375,3.93865586348247e-05,0.3333333333333333,3
22,0.0015273838097316168,0.2120532099479468,0.0008333216243789687,0.12962962962962962,8
23,0.0007636919048658084,0.22050350626075033,0.00012483705215571202,0.3076923076923077,9
24,0.00016364826532838753,0.19491759702286018,9.014291511075946e-05,0.3333333333333333,3
25,0.0017455814968361336,0.20228860223122166,0.0002445516768739015,0.2661290322580645,10
26,0.00032729653065677506,0.19577940108505276,4.547295356803683e-06,0.5333333333333333,6
27,0.00032729653065677506,0.18352371131956471,0.00019491922425698705,0.13333333333333333,5
28,5.4549421776129175e-05,0.15074294266143687,0.0,0.0,1
29,0.0003818459524329042,0.19023701797351708,6.749302575737814e-05,0.2857142857142857,5
30,0.0006000436395374209,0.19829525787469712,0.00040535481624174896,0.21818181818181817,6
31,0.0003818459524329042,0.17008879280750425,1.671775385469252e-05,0.42857142857142855,6
32,0.0002181976871045167,0.1801476007507788,1.2608699663435228e-05,0.5,4
33,0.0008182413266419376,0.20611880052620335,0.0004573584058271901,0.24761904761904763,6
34,0.0002181976871045167,0.18839730743538358,6.756228384560177e-06,0.16666666666666666,4
35,0.00010909884355225835,0.16337807247384276,0.0001070209000507912,0.0,2
36,0.00010909884355225835,0.17034166829277358,1.1752632465872565e-06,0.0,2
37,5.4549421776129175e-05,0.17476690754475946,0.0,0.0,1
38,0.00016364826532838753,0.16239391952943677,5.4515378012131706e-08,0.6666666666666666,3
39,0.00010909884355225835,0.17030843552582683,0.0,1.0,2
40,0.0006000436395374209,0.18538331631053626,7.424856049361418e-05,0.6727272727272727,9
41,0.00016364826532838753,0.16947554290046132,1.874424211328866e-05,0.3333333333333333,3
42,0.00027274710888064587,0.18805137253292847,0.000300666111310608,0.1,3
43,0.000981889591970325,0.2190909851445508,0.0005310154912741273,0.17647058823529413,9
44,0.0007636919048658084,0.20369567874484706,0.00012247039547070893,0.2857142857142857,8
45,0.0002181976871045167,0.11539429952663914,0.0,1.0,4
46,0.00032729653065677506,0.1928466231853566,2.047068453846077e-05,0.3333333333333333,5
47,0.0004363953742090334,0.1782921610581599,0.00014126922883866914,0.39285714285714285,5
48,0.0006545930613135501,0.21500533642963537,0.0005995181156174537,0.16666666666666666,7
49,5.4549421776129175e-05,0.1324135938459316,0.0,0.0,1
50,0.00032729653065677506,0.17920719487756,5.4415400709426456e-05,0.26666666666666666,3
51,0.00016364826532838753,0.1746071054386132,9.59349468137313e-06,0.3333333333333333,3
52,0.00032729653065677506,0.20945830143622673,1.7780701554792557e-05,0.3333333333333333,6
53,0.0002181976871045167,0.1830070579309381,2.4284236281946097e-06,0.5,3
54,0.00016364826532838753,0.1869448608519187,1.3799149020077717e-05,0.3333333333333333,3
55,5.4549421776129175e-05,0.14728520238458695,0.0,0.0,1
56,0.00010909884355225835,0.17163347657968897,0.00010909884355225834,0.0,1
57,0.0038730089461051715,0.2348088943539297,0.0028930923508575,0.08853118712273642,10
58,0.00016364826532838753,0.15933941764450238,3.174188527332812e-09,0.6666666666666666,3
59,0.0006000436395374209,0.19533922235127388,1.2457920221897107e-05,0.7090909090909091,9
60,5.4549421776129175e-05,0.1547918601705649,0.0,0.0,1
61,0.00010909884355225835,0.1746969581459175,0.0,1.0,2
62,0.00010909884355225835,0.17632009233432722,0.0,1.0,2
63,0.0010909884355225835,0.18513805570704317,0.0003170645133611014,0.5842105263157895,15
64,0.00010909884355225835,0.15296169282501856,0.00010909884355225834,0.0,1
65,0.0014728343879554877,0.22705260159278665,0.0006858660533254133,0.10826210826210826,9
66,0.0002181976871045167,0.1767161186461918,7.726211392376436e-05,0.0,3
67,0.00032729653065677506,0.18404883338018554,8.008744723205358e-05,0.26666666666666666,4
68,0.001254636700850971,0.21960803105084095,0.0010701382176477158,0.18181818181818182,9
69,0.0004909447959851625,0.1679185139046642,0.0001371053090839092,0.19444444444444445,4
70,0.00016364826532838753,0.17870407377440706,0.00010909884355225834,0.3333333333333333,2
71,0.0004363953742090334,0.20307065157188117,6.938929007548868e-05,0.5,7
72,0.0026729216670303294,0.23705274591700826,0.0037726062193867115,0.08163265306122448,9
73,0.0005454942177612917,0.1931880453568267,0.00013918234208865955,0.26666666666666666,6
74,0.001909229762164521,0.18782401999959017,0.0009924273077002463,0.226890756302521,8
75,0.0002181976871045167,0.1877470760533377,0.0001238239898909675,0.16666666666666666,3
