node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.04217355109435647,7.52518664390073e-05,8.045930009316021e-05,9.989912569600875e-05,0.00017203175804503582,0.0004513724942670067,0.0012151212928005254,0.002832287395838959,0.005215308954556348,0.008098748140694084,0.013534141607544499,0.02233047590263245,0.029416420734457886
1,0.1114999163903618,7.495906112104996e-05,9.810754614600806e-05,0.00013916922805883535,0.0002805742517392324,0.0010143995191154442,0.0031998661890287198,0.006435219375911828,0.00963439634808982,0.012972625964789005,0.017584863190700864,0.027796161666768498,0.04005932656160166
2,0.06518906107404729,8.062676438980907e-05,0.00010250584619946385,0.00015772893517548712,0.0003342388681668394,0.0007817583179090919,0.0019889791863951147,0.0051783915875119445,0.010500621330813815,0.01575295767797994,0.021060914960678474,0.02924025487280886,0.03655096219634469
3,0.05916464858229934,8.086343029692903e-05,9.025080106919862e-05,0.00018022489528585165,0.0005396779192722623,0.0011451720036389794,0.0020420095721506142,0.004047278785422295,0.007134750052261326,0.010243997893934716,0.01473766348792584,0.022644971212480602,0.02937709019990236
4,0.0029276757244466535,5.669103866728739e-05,5.7602001442236394e-05,5.861956889074415e-05,5.975447685676425e-05,6.16673599831555e-05,6.398144420108613e-05,6.541815940949e-05,6.616640860064909e-05,6.695153111405483e-05,6.854519502565485e-05,7.231912474222704e-05,7.684322851278572e-05
5,0.0035346788351449192,6.087448511298258e-05,6.17487962396309e-05,6.390375723232434e-05,6.658680783852747e-05,6.898215864831334e-05,7.958066574673963e-05,0.0001868283989067643,0.0006965008016547655,0.001870433370154401,0.0038938751147251423,0.006548575739072076,0.008294326126781458
6,0.003303453789311404,6.02555389554322e-05,6.060135891496334e-05,6.127374515262559e-05,6.232256214781418e-05,6.403258860124522e-05,7.393028694893748e-05,0.0001660973566753134,0.0005210616878433376,0.0009587355945187635,0.0013557617349116047,0.00218314720157428,0.0028608881275335677
7,0.0029312928777715614,5.845174608076529e-05,5.8565229565687477e-05,5.9540853153115065e-05,6.126200978360391e-05,6.29533116230175e-05,6.55676086570195e-05,7.010239691165751e-05,7.47516057007833e-05,7.73431151275146e-05,7.746370332061263e-05,7.651163652424203e-05,7.636530861607324e-05
8,0.029158510548192115,7.892632539282583e-05,8.522065315033492e-05,9.589670715646407e-05,0.00011483793956735312,0.0002316386983686621,0.0008058377910517837,0.0022073426578365337,0.004475578718753698,0.008887801922291298,0.015182704356990066,0.01961097860579876,0.022030032110851083
9,0.1434230864979026,0.0001225074461816438,0.00017639693896979048,0.0003055560824608526,0.000625626169983307,0.001583422576110854,0.004366277582673434,0.009625576280565509,0.017434229516427504,0.029545667877926795,0.04440337075139175,0.060467779076267505,0.07542325478586077
10,0.09734111586403242,0.00010389862522486103,0.00011711735448821688,0.00016018254405541702,0.0003125121983539536,0.0009106942638543104,0.002817161558664436,0.0070798402275297455,0.014385075853111681,0.02412420306990933,0.03500843221598994,0.04766156416875561,0.05823801644185381
11,0.1377019727919804,0.00010101238005860486,0.0001253453313648298,0.0001871150145334119,0.00037306152817570044,0.001153177877474298,0.0039578112200438645,0.01040227632756928,0.019221841169074223,0.02875036558824309,0.0429750837232555,0.06169128759781177,0.07448604814104814
12,0.0030309484971341944,6.028904618087471e-05,6.055141869592115e-05,6.0161898543312904e-05,6.090768398954167e-05,6.343809258576681e-05,6.61123175035731e-05,6.797712598420103e-05,7.904907092161492e-05,0.00021153111981031536,0.0008192436737991719,0.0018911962835981857,0.002627834419153898
13,0.016260249081475307,5.9147352873578415e-05,6.0304973117877115e-05,6.193503710640032e-05,7.063953345611839e-05,0.0001439438527843331,0.0004256077765722691,0.0008565559218087491,0.0015951005194141154,0.0033860711483089615,0.006937992063868737,0.010231760490339506,0.009592912638918604
14,0.3743359302065182,0.0001924857334169872,0.0002944252071895445,0.000660825503835079,0.0017951255168651647,0.005040592144595497,0.011733946013777644,0.0217420019991629,0.03705047286567954,0.061217989436781806,0.09066804233871215,0.11917578046893224,0.1398258472716788
15,0.0028670820579554624,6.00109775135559e-05,6.013002500578245e-05,6.0730009194379615e-05,6.198879595419167e-05,6.32362962532808e-05,6.455474057031802e-05,6.666034219202717e-05,6.841176717011406e-05,6.991673972732749e-05,7.22392039305303e-05,7.330535094398838e-05,7.246654519529782e-05
16,0.10478811007148503,8.242217115307543e-05,9.314318474575377e-05,0.00013034172583768772,0.0002929724825828047,0.0009953081746118535,0.0030274623689306663,0.005898873283710968,0.0090570788359705,0.014068647091153436,0.02117521722462968,0.03010236381226533,0.03658724257300694
17,0.062354639746758526,9.202046991050277e-05,0.000113796785618609,0.00015636767596844547,0.00034857793640077775,0.0008657152369484064,0.001932995212972652,0.0044361202788058465,0.009634725859477583,0.016352298839413745,0.02042567983793244,0.021848311266673484,0.024108396327254374
18,0.1192646592838113,0.00010255352561742344,0.00011052006196075482,0.0001615539350726964,0.00039436133646712985,0.0011918536334354717,0.003517726442815125,0.008003740525746698,0.0126726471826841,0.016708862602430555,0.023566663929077983,0.03170076371305547,0.03561936675915746
