node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.022373262522031562,0.00031022746607991993,0.00031567858313957483,0.0003250411187613303,0.0003319435512776374,0.0003369558087495608,0.0003428686693721792,0.0003480485384225526,0.00035135053146255534,0.00035639172228052224,0.00036382535842901907,0.00036753298768144233,0.00036724453900061386
1,0.15147187687421543,0.0007695619667683949,0.0010173083543194596,0.0012954973961373795,0.0015613277797357624,0.00209564877007836,0.0031917274544082308,0.004672058450727181,0.006815096751047368,0.009984397402585641,0.013077053726053781,0.01599881388846377,0.018432761490598734
2,0.02284046317507313,0.0003316754384520552,0.00033193296503611293,0.0003335240531857142,0.0003384465259297217,0.0003469050542491027,0.00035538149779747603,0.00036056047676396295,0.0003636914582801345,0.0003682376080608624,0.0003737409444714249,0.00037671456179002476,0.00037734739097578375
3,0.022927972344568025,0.00037579032826721536,0.000381135727130431,0.00039308549896700806,0.0004089017644620783,0.00041973023946322886,0.0004257473285157917,0.00043709188125293436,0.0004536065624463939,0.0004745727437721906,0.0004963487925638792,0.0005081615374804689,0.000505638513641173
4,0.022107274891456263,0.0003414295268781466,0.0003361869084140686,0.0003327885107095234,0.00033312981499344235,0.0003359355601782085,0.0003404786488742014,0.00034620534223089644,0.00035276736054717114,0.000359620643209902,0.0003643541892010859,0.0003668175314350922,0.0003683890435356419
5,0.024419618441688412,0.00035902285982675425,0.0003632116373710497,0.0003778735266470125,0.0004033197001871169,0.00042648799092537303,0.0004397636057240263,0.00045025728474953035,0.00046516702806210223,0.0004836837780606222,0.00050732900307076,0.0005430360261297965,0.000582646888309595
6,0.02221541650935371,0.0003344480122339395,0.000337710853175839,0.0003424960479521156,0.0003484263919281996,0.00035319474801578986,0.0003570259517309569,0.00036258010302145317,0.0003693145331262347,0.0003744580615378343,0.00037644185733734005,0.000378084594272034,0.0003811588883642073
7,0.022319723425472515,0.00037439701520371616,0.0003928948372951609,0.000410783874322989,0.0004198432893697798,0.0004235881423546049,0.0004285905691849001,0.0004385555589125858,0.00045031970771622137,0.0004648656120722918,0.00048784991075177136,0.0005129115942296713,0.0005285807364057646
8,0.02567541896831172,0.0003895125987858633,0.0004240062628184685,0.0004613815881743306,0.00048617176058631797,0.0005088345946114002,0.0005366491571457428,0.000573544652548003,0.0006245769833002194,0.0006825873676855946,0.000794991772911565,0.0009900907653265193,0.001163364603455777
9,0.023478525541994456,0.00034333507866120944,0.0003443102324924657,0.00034672345648374697,0.0003522279955060091,0.0003630813224068897,0.0003771963354041015,0.0003908010733167198,0.0004013125074476299,0.00040876692225687793,0.0004154682592640401,0.0004215178314948727,0.00042507295293850856
10,0.061832848417466106,0.0005933517401238845,0.0008730847512473896,0.0013518849742417233,0.001714163384227261,0.001827309093879779,0.0021915479720515958,0.003031687960176631,0.0043832608896220504,0.006184096935641575,0.008044973905641574,0.009865843188551115,0.010929951044790606
11,0.021827766096076444,0.00033213776629477214,0.0003339657284390736,0.00033721218469434834,0.00033998100075428904,0.0003419646662761029,0.0003435572849680718,0.0003468073644613001,0.000353216931147515,0.00036222437646880363,0.0003744597223578937,0.00038600752919139714,0.00039137486855119076
12,0.21993636243925696,0.0009518972860146531,0.0011127487797164375,0.0015431192086475828,0.002478066768541746,0.003771134275978456,0.00498611947219056,0.006465252128531778,0.009320197212173883,0.013316877291309034,0.016745721767112542,0.019180289918235005,0.021112107456049696
13,0.05772658321881479,0.00057878547914963,0.0006686584955630387,0.0008737805515238865,0.001071947879639866,0.0011477582979969314,0.0015159401183649415,0.0022879841339657108,0.0032190647865269536,0.00422877377092395,0.005061303949703021,0.0058133928896906845,0.006736330293489964
14,0.022135678466872755,0.00037416034857489444,0.00037699797304902364,0.00038465075021334956,0.00039410127525897143,0.00039917778635413374,0.0004009262387013068,0.0004046222613506272,0.0004131852199592269,0.000424226963432142,0.0004360001637286363,0.0004487295344996852,0.0004570671695379601
15,0.022361323198943416,0.00033620845108731274,0.00033914827867108474,0.00034487178066535285,0.0003505113704757698,0.0003556396648400148,0.00036098952505264105,0.0003655382257373148,0.00036890664760770326,0.00037294316276231863,0.0003808206971374527,0.0003902845457849644,0.00039522334703686907
16,0.7714011847857888,0.002716941769059583,0.003947445054078846,0.006570624274691002,0.010522630529771641,0.015365465961695229,0.02008201099062735,0.025195971770628944,0.03103878815950457,0.036670198830715914,0.04239892711003988,0.0490575874251085,0.05496192291517339
17,0.02526387357478125,0.0004464728996723121,0.0005316822855807591,0.0006549799702867223,0.0007279164464004694,0.0007683554816458027,0.0007697589438786117,0.0007810935936606019,0.0008675449139210511,0.0010173017260200709,0.0011321388351279704,0.0011791150040227666,0.0012067445048453821
18,0.06555664650475714,0.0005716321378007722,0.0006004891952876236,0.0006564642638159429,0.000834811490521177,0.0011234314311853633,0.0013950896133131593,0.001584059854875101,0.0017737208482834178,0.0023024217038752036,0.0033928243704380674,0.004117006942271519,0.003796569038848055
19,0.025480861638138508,0.00042338625798378835,0.0004342838305833296,0.0004486866107604378,0.0004625613968940013,0.000475157013779684,0.0005062528792054057,0.000660235275934652,0.0010518708570728863,0.0015757023104396605,0.0018265931853935575,0.0016349085240703763,0.001467882443426594
20,0.02232031948599198,0.00033302538470422353,0.0003343577956304969,0.0003354875762989597,0.0003368759039130586,0.0003400886785846623,0.00034694681342987944,0.00036002825697649307,0.0003752063875892313,0.00038192976083049586,0.00037561757682764486,0.0003626698052378083,0.00035686334573489933
21,0.022599354339755864,0.00032949021921273655,0.0003321561917045536,0.0003368728428283235,0.0003433161430706388,0.0003504949857891449,0.00035700586550111606,0.00036254733364820364,0.0003689547251272718,0.0003756903100776217,0.0003799277904636901,0.0003828866881220228,0.00038456053360990707
22,0.02466971844666661,0.0003731805891973351,0.00038787359822304484,0.00040409043266281136,0.00041560093867572636,0.00043055897853282437,0.00045481293872487276,0.00048642657965590485,0.0005186319319847632,0.0005421348784414933,0.000570828098547069,0.0006151965002901025,0.0006446718543687182
23,0.023549675882538222,0.0003433688683960374,0.0003446875758173237,0.00034813824484520597,0.0003531672669068515,0.00036042104037105197,0.0003748330594041654,0.0004316646353152885,0.0006474126420553839,0.0010082738921507223,0.0012628556635237264,0.0013731209423606446,0.0014282074344833633
24,0.026051458580523348,0.00037977819754920274,0.00040435378103558027,0.0004466990530940067,0.0004796959937695295,0.00048825111943979826,0.0005349348220280892,0.000643885924781941,0.0007523281045940587,0.000823510476298131,0.0008624493528922828,0.0009125650587879034,0.0009568180150890376
25,0.05656031934790402,0.0003763108167198975,0.00038512256536198786,0.00042133487255091237,0.0005326003139069269,0.0007109514980707444,0.0009671526181983603,0.0013976414574525416,0.0021622438843454874,0.00359116986839853,0.005317169717539856,0.006319087672660973,0.00613196250375383
26,0.026246700601879523,0.0003841740326485268,0.0004083627654048131,0.00044268238017246286,0.00047326578794131696,0.0005008463080951944,0.0005321550699220489,0.0005692442551105464,0.0005953711200238916,0.000617227842291753,0.0006831670815273941,0.0007829130485587682,0.0008343170542624176
27,0.6794310425180384,0.0027027532203616157,0.0035384376949436592,0.005063795186560938,0.00783538661726861,0.011735943406213475,0.01622067297924081,0.021580153332246884,0.027743131153595897,0.033286191934935955,0.03863963967438078,0.04551729152585973,0.05157194941650817
28,0.058096397923982565,0.0007852982264492043,0.0008430001225400042,0.0009705261640396458,0.0011023482505915193,0.001249046838406203,0.0015575714959080028,0.0020727924804612966,0.0026691238014972074,0.0031456756460213875,0.003596583732187473,0.00444971748422279,0.005474601210557244
29,0.1867294810006558,0.0009368397702998216,0.0013267319623093434,0.002186553904736896,0.0033020467002647033,0.004309500093539573,0.005394029987759065,0.006684432652486898,0.007814892572129776,0.008755436365590914,0.010494628329468611,0.013708674678000538,0.01655924304745778
30,0.35879897810759054,0.0008451439007720739,0.0012933938266722778,0.001990295837973835,0.003025958271569617,0.0050673032014911246,0.007381220639151653,0.008989934312962293,0.010274697572411243,0.011089565521018047,0.011936058966608185,0.012889508732950385,0.014165531598242997
31,0.388138612022579,0.0008296424191657644,0.0010268699592944207,0.0015738539481272753,0.002756194130132486,0.004793433732194962,0.0074435074005159505,0.010125024222514867,0.0129083319326386,0.01665646596951368,0.022507098355702176,0.02819339287342809,0.029913693443474984
32,0.029562335864760154,0.00042422510223646265,0.000431764241008186,0.00044517284374530255,0.0004704554496238804,0.0005141381455859762,0.0005678408992639934,0.0006389886511717684,0.0008222419660495431,0.001226752836691873,0.0016537139398988896,0.0020073841657423353,0.002462463570509693
