node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.06947447648258095,0.00042999913062212957,0.00043670070825015654,0.0004462022234469664,0.00045840931259433096,0.00047185355523089083,0.00048583856191395633,0.0005107124835263898,0.000565594298210022,0.0006087970637088632,0.0005788244952359091,0.0005638099255751135,0.0005963232342997469
1,0.09742666706713725,0.0004271857785746499,0.0004350317449805909,0.00044228749579633766,0.00045796018704757446,0.0005058339742972501,0.0006031233592445396,0.0008171878992480071,0.0011510233966673335,0.001309133692561171,0.0011145127684950341,0.0008590216217007156,0.0007587911389938867
2,0.11705738710109831,0.00050596342600425,0.0005780234182239184,0.0006818235572645392,0.0007517881082900823,0.0008441734412026028,0.0009750282318260941,0.0010665204904499281,0.0012919845056334463,0.0019127884122269881,0.0026510518338978073,0.0031432309216250834,0.003585991452468998
3,0.06503096329824636,0.0003851859810601175,0.0003931309592603424,0.0004074037708640061,0.00041842992560011034,0.0004242498307543488,0.00042760130280197734,0.0004290133086241445,0.0004295532818918055,0.0004309405061593552,0.00043389955686853773,0.0004368573720660455,0.00043820244629440893
4,0.10657682280580034,0.0004940858613329127,0.0005191195607083734,0.0005540064435279502,0.0005936228422349509,0.0006771980546480745,0.0007752284544673793,0.000851972721241176,0.001078615200984582,0.0014950384711255658,0.001869557199768458,0.0020539107921693626,0.0021561820639655126
5,0.06791038193436136,0.0004411823588684118,0.00046468075214376093,0.0005061219365038299,0.0005383602237917332,0.0005514882880668921,0.0005568971572310812,0.0005669448056577662,0.0006123141272619498,0.0008090586082066056,0.0011655872464630256,0.0015134893126606012,0.0017688899541930874
6,0.0814652246091416,0.00046319898635947495,0.0004887261114064435,0.0005403934391497833,0.0005997590203254985,0.0006387802921972936,0.0006751209515311672,0.000788841122988309,0.0010166896639170018,0.0012457434464905226,0.001397096465260482,0.0015521756806433106,0.0016717613780763562
7,0.06713716485196407,0.00037880196563150136,0.00037998150169024365,0.00038286018462808686,0.0003889438871472386,0.0003988146747166051,0.0004072766081741568,0.0004121444101699253,0.0004170697196743177,0.00042327919162402517,0.0004287219380928022,0.0004321986515383779,0.00043358525805009014
8,0.10378774401263033,0.0004743367373981395,0.00048221014748865904,0.0005115840507547997,0.0005783770634426452,0.0006739538848752374,0.0007511532297511956,0.0007770128053931695,0.0008126898176152842,0.0008492654215109406,0.000854834055741595,0.0008736720925295714,0.0009142711070881281
9,0.0637406709433038,0.00040223586487662434,0.00040810980524067235,0.00041326056342226954,0.00041537252087918235,0.0004168000419184059,0.00041866570991473076,0.0004198878711262538,0.0004223099662435647,0.00044290161432433835,0.0005238771274793327,0.0006440287782537574,0.0007040124701465694
10,0.08272830156944483,0.0004276129965166669,0.0004431282040460869,0.00046766970105603645,0.0004970154832993239,0.0005213614119904584,0.0005763243851438769,0.0007713492334091162,0.001119119112887698,0.0014998673902163996,0.001960105581646173,0.0024402989894127666,0.002694722104171557
11,0.08746231394591816,0.00042044934746219306,0.00043196121957736467,0.00045717044860182286,0.0004927914448319979,0.0005358484812735311,0.0005962815906138668,0.0006704838843527385,0.0007376021452169219,0.000784144600590503,0.0007977182598998067,0.0008171967653672718,0.0008792897738072554
12,0.07694212594530223,0.00045520278808311806,0.00047050089662743397,0.0004966433806400025,0.0005229770017034601,0.000549954841358845,0.000581817606659623,0.0006059120967990017,0.0006209492146213463,0.0006375922204048888,0.0006603287079024163,0.0006795432438710683,0.000693282580353907
13,0.11465938122472141,0.0006886127999202035,0.0007528226613049568,0.0008635654947406429,0.0010020911201218397,0.0011099874873291935,0.0012109830042776602,0.001558657821328145,0.0020988264749930464,0.002455450112585319,0.002913778772587349,0.00406808343704706,0.005358566219968423
14,0.07406570163353866,0.0005941706198340234,0.0006996397872421814,0.0008054764027696113,0.0007964306695854102,0.0007748746843562873,0.0008367477221080681,0.001020569788986071,0.0012630789531257452,0.0014732665367571864,0.0018899237831579755,0.0026361270203210914,0.0033886083596736307
15,0.08711361573463007,0.0004779068811366236,0.0004912002605895043,0.0005121841100454766,0.0005365601518670801,0.0005775349400127543,0.0006383026061872687,0.0006804142419388806,0.0007013872738213731,0.0007596847532086548,0.0008359466887811866,0.0008728612843801873,0.000887767177307229
16,0.06392353176994602,0.0005161333137281069,0.0005727717451655984,0.0006609914814556146,0.0007487872512987507,0.0007339115328036258,0.0007448945117810369,0.000987754215726291,0.001392418880461944,0.0016693068238522,0.002057061062901719,0.0031189363277917643,0.004314573473417396
17,0.09701996239042392,0.000566669297478107,0.0006145392046620435,0.0006502797475162474,0.0007006189394955893,0.000776273402855886,0.0008411976493141998,0.0009082949682216166,0.0010535168274492424,0.0013152180436367127,0.0016131192448448984,0.00195501478165283,0.0022992017628873985
18,0.16207324364133155,0.0005063018465328484,0.0005350643759441326,0.0005623556931029362,0.0006086851952878188,0.0007621955808877841,0.0010235275866619122,0.0012463647067546503,0.001521895090585969,0.002275397326764338,0.003252890347843827,0.003708956266414074,0.003891122260915425
19,0.08092748785433376,0.0003995109794507601,0.0004046474311349121,0.0004145622135467755,0.0004352423009670128,0.0004741308729112057,0.0005119793636720883,0.0005257584000301919,0.0005226834127128402,0.0005209621173039038,0.0005332686222123229,0.0005533041714357871,0.0005708260378127457
20,0.17391035784439235,0.0005104285353547816,0.000609909475233608,0.0007052978393748062,0.0006971381698594863,0.0007493394370894099,0.0011625353767169774,0.0018478859471274807,0.002401196770282033,0.0026114805993068427,0.0024411711425954864,0.0027282460867335597,0.003462438567149755
21,0.06527373883940316,0.0004157488092447344,0.00041709388347309785,0.0004200541696939552,0.00042310060926069716,0.0004256694486265099,0.00043294490290139525,0.0004521633813635292,0.00047927808410189025,0.0005041854356525458,0.000525216977139001,0.0005414367207828914,0.0005530263369916584
