node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.03889678278758065,0.00023225523493709585,0.0002752115794957568,0.00031515063459179485,0.00037886601185515016,0.0004862640813463884,0.0007513098554874394,0.0015166327646142495,0.0029092653030332663,0.004600555956549185,0.005766539185153286,0.0062677913607134435,0.006398963606210999
1,0.011722476676458078,0.00014456001867741496,0.00014669377368272567,0.000148835660244742,0.0001510696128962334,0.0001548376194241984,0.0001594818333768866,0.00016487264080379576,0.00017273140452158487,0.00018697663702143104,0.00020433831470219026,0.00020792602383431198,0.0002031310062690304
2,0.011628132634073779,0.00013987350097905538,0.00014185226497196506,0.00014528656926721768,0.0001481435463788915,0.00015128231864100614,0.00015529827995951868,0.00015860025714232656,0.0001610415633776711,0.00016230483985503453,0.0001628426872766892,0.00016404692473018923,0.00016576434098380572
3,0.113404236805053,0.00023268345652875265,0.00028300951889564127,0.00036808563099303656,0.000504532990181252,0.0008332981542353611,0.001876531709350683,0.004606013639974419,0.00801112763479112,0.011096797783440603,0.01600702198152762,0.02069722928787217,0.02261206900849335
4,0.011615397770481957,0.00015049397590925805,0.00015161997190959737,0.0001522539167387064,0.00015255851566483978,0.00015575642651717472,0.0001595310377487504,0.00015672292888893109,0.00015624571661976196,0.00017214484438791527,0.00020002298685829355,0.00021021627698209204,0.00019968622194720752
5,0.10967828748891051,0.00021445946375408224,0.00026805975983882984,0.00037016406710104827,0.0006445377793042298,0.001203533304238228,0.001968228081459322,0.0032074709495664546,0.0051975751858759816,0.007714464163790725,0.010783915248424668,0.013232371039929226,0.013715459841919596
6,0.011190689133167566,0.00013909159786628164,0.0001410244407371651,0.00014314310415315074,0.0001442141867880646,0.00014480943798869179,0.00014548640357237692,0.00014588870411676153,0.0001459929756009367,0.0001461794621909523,0.0001469825091749235,0.00014830569974802065,0.0001490938204647976
7,0.012508712985605585,0.00017383125561874297,0.00018312146481642066,0.00019709046849155553,0.00021240566365849544,0.00022413809700068553,0.0002313373513721098,0.00024184075736592215,0.000255793544124171,0.0002744009507315902,0.0003060123112273498,0.00034981775328976335,0.00038604316266152144
8,0.027721078109953758,0.0001400890929184532,0.00014150235144628505,0.00014466899815228785,0.00015176857326027837,0.00019365182152203235,0.000374842846609139,0.0006926298692369986,0.0009470531038009754,0.0012141725867031963,0.0020325771092795583,0.003597183015953294,0.004870524201124136
9,0.011647169089906945,0.00015339536774785424,0.00015772846978699405,0.00016456959162409077,0.00017243547738922865,0.0001793006489830104,0.0001797557935640563,0.0001761129712773399,0.0001786992204414529,0.0001955193846801874,0.0002776191975679168,0.0005949358142920604,0.0010486938224334658
10,0.01240378668858663,0.00018645913020254887,0.00019566201980718382,0.00020579682194825198,0.00021407711042521467,0.00022319406012032145,0.00023157625830534764,0.00024164253774726282,0.0002673719316736782,0.00031268928702455934,0.00036243991557995554,0.00042048028510026684,0.00048134455049274793
11,0.011320708399878286,0.00013274518595135536,0.00013310278883425016,0.0001347157908983617,0.00013745262733639272,0.00013945968975889272,0.00014047977598822072,0.00014091237309693614,0.0001410609793527516,0.00014176281295614506,0.0001447062991961735,0.00014881688041339672,0.00015025261307180147
12,0.011153850849628234,0.00013508113324447007,0.0001361367888894071,0.00013759385701884417,0.0001387464320218448,0.00013924987020874505,0.00013951677652725852,0.0001416064533815733,0.0001511078642359007,0.00016753389962435465,0.00017875183867241388,0.00018201612246081136,0.00018245325701231931
13,0.01113211938543324,0.00013438072249978312,0.000134470067716764,0.000134871480201264,0.00013553329750278374,0.00013593470998728374,0.00013602449923420695,0.00013603920348643003,0.00013612899273335324,0.00013653040521785325,0.00013719222251937297,0.00013759363500387298,0.00013768298022085387
14,0.15271671287724997,0.0001615939813266272,0.00019096692944456665,0.0002913430532796594,0.0006505761194196,0.0014159989041291265,0.0025536567830900603,0.004080670909700774,0.006017655514458359,0.00835287716607882,0.011050956585612394,0.01300648511449567,0.01251918974188405
15,0.06649089373203333,0.0001735813731963443,0.0001907254595551532,0.00021273622109076244,0.000319133769902487,0.0006047560386517575,0.0010628625758502845,0.0017568481081044977,0.002838014790653224,0.004004544063735833,0.0053881553013157835,0.008263015072194181,0.011738381041277227
16,0.011095433964904495,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998,0.00013271400132713998
17,0.012452391962841694,0.00016077987235006718,0.0001622963149040194,0.00016734998514429585,0.00017570808414849796,0.00018450138013556251,0.00019391711680015884,0.00020907539799216632,0.00022650892861927395,0.00024230567959838102,0.00025560896722734774,0.00026192974332606383,0.00026665422982052227
18,0.0755025301776528,0.0001405030565870754,0.0001473865463102717,0.00018666577906238256,0.00032500469223129013,0.0005795928229416271,0.0011903585709150785,0.0025312759220472063,0.0036791036700383473,0.003898600913645207,0.0043946147488997155,0.006062268317197432,0.008073981297217928
19,0.014134792527247766,0.00017355689979171396,0.00017916181527478751,0.0001892339405732532,0.00020135325883976563,0.000218397948863645,0.0002421693375526967,0.0002650008386875914,0.0002836805660404877,0.0003075922570292283,0.00035616448140113387,0.0003977822190792699,0.00039758526898321515
20,0.07163144173248646,0.00017566747674263364,0.00018993971755355474,0.00026033247489255285,0.0005147159975753451,0.0009114823690645461,0.0013276927271127009,0.0020110552592432188,0.002667378113304821,0.0034230149112368206,0.005893914203124032,0.008615686267741268,0.008795119155268493
21,0.012766919917089819,0.00014930718501246558,0.0001538075872156003,0.0001612236931951249,0.00017445306982829102,0.00018979801350854788,0.0001969090511374281,0.00020076325386874738,0.0002039224522683161,0.00020343071570185195,0.000209074916073056,0.00023935836433779903,0.0002769430714426855
22,0.013183380908780302,0.00017517831699273928,0.00017899202445821087,0.00018607559292991595,0.00019829430897916678,0.00021346367793171792,0.00022631389058818757,0.00024016544631779932,0.0002626403933544104,0.0002907545875778336,0.00031672512440421654,0.00034265911851507854,0.0003597793228611413
23,0.33914634748005673,0.0005312604067680316,0.0008322893493487334,0.0014053974336300516,0.002309185983684534,0.003737207645802076,0.006713085791116917,0.011660527587299102,0.017767453558825804,0.02523390900965135,0.03475854405088407,0.046927703629394406,0.056404789236408466
24,0.16190388738878397,0.00023572705217495075,0.0002851726326932555,0.0003466711208151486,0.000560666725724793,0.0012725995989751031,0.0025867721424449957,0.0040731120774509565,0.0056610527309761734,0.008128722997284163,0.012181566756071145,0.017241032432914652,0.02094880154269365
25,0.012308479410069269,0.00014894190237445975,0.0001529707363440796,0.00015573695866975568,0.00015425777076629553,0.00015434072055472287,0.00016993105472894372,0.00031783213327923996,0.0009453916775384264,0.0018948876515193702,0.002343736269695024,0.002416294929862216,0.0024910663831213464
26,0.11394137632799821,0.00023842937298838537,0.00026865588529477387,0.0003656782729807418,0.0006455988607969847,0.0011696369798771928,0.002025582668068944,0.003867061528117685,0.006688543783157828,0.009413314249515133,0.012477242005361818,0.01752930705917459,0.022824220734798634
27,0.1173755707219336,0.00017639003786572917,0.0002208459043015578,0.00034681752756107796,0.0006347579002923532,0.001144828583024299,0.0020622622601969066,0.003468646751861332,0.004975040816937807,0.006724212981521993,0.009469021146544104,0.01277995926816676,0.01517206751847458
28,0.17429710133921755,0.0005309586850454225,0.0006814578327636201,0.0010310777137822883,0.0015605756633830909,0.002296888151819519,0.0037497268848504847,0.0065575556356203685,0.011042144496878344,0.016469912930432283,0.02270100713988233,0.029601499558746185,0.03347361202876023
29,0.011338470014898993,0.00013898688235216422,0.00014052588687963035,0.00014199075116512125,0.00014276469279971026,0.00014385158976170298,0.0001460154503771503,0.0001486621380376362,0.0001539312951329161,0.0001700828019610805,0.0001936214395629707,0.00020008043108779512,0.00018890933497634876
30,0.012616381644971832,0.00013890688739603526,0.0001403657560924941,0.00014296815085571414,0.0001484161345301272,0.00015755661268359846,0.00016870044725502347,0.00018446471476481804,0.00020014033422857246,0.00021411359945248303,0.00037954974752592535,0.0011167687001456877,0.002183894966827981
31,0.011787313180267064,0.00014019380843257066,0.00014200157134873327,0.00014574971720082277,0.00015027738252429502,0.0001543551682303407,0.00015957419840420566,0.00016419246172484444,0.00016475854722234622,0.000164062329103365,0.00016367397599741042,0.00016306696343202552,0.00016267914512489284
32,0.011132161747302374,0.00013603185136031848,0.00013603185136031848,0.00013603207337528964,0.00013603942550140117,0.00013612899273335324,0.00013653040521785325,0.00013719222251937297,0.0001375938570188441,0.00013769077637690771,0.00013778747372000016,0.0001381817560933598,0.00013875400616292747
33,0.14996528907146495,0.00019424660916904523,0.0002499265154626523,0.00038719408380495114,0.0007243329632560221,0.0013590735314885432,0.002589085157253128,0.004536044119108906,0.007232589251892749,0.011055165127532286,0.014633298845303736,0.017757078063732043,0.019686743436043708
34,0.022784346491622916,0.00020400001931939618,0.00022145930219918703,0.0002324510227917561,0.00024292259204867925,0.0002890192863548958,0.0003988086136506812,0.0008102174462868319,0.0018212807219269566,0.003260215872413697,0.005073192525441117,0.0061039590673101435,0.005194497418776895
