src,dst
0,183
0,621
0,742
0,814
0,1491
0,1570
0,2768
0,3075
0,3260
0,3568
0,4042
0,4159
0,4861
0,5703
0,6058
0,6118
0,6182
0,6294
0,6490
0,7585
0,7695
0,8528
0,8599
0,8736
0,9129
0,9175
0,10493
0,10571
0,11426
0,12186
0,12318
0,12487
0,12512
0,12984
0,13603
0,14122
0,14163
0,14170
0,14363
0,14499
0,14703
0,14836
0,14894
0,15016
0,15309
0,15398
0,15462
0,15474
0,15740
0,16176
0,16196
0,16564
0,16648
0,16654
0,16771
0,16813
0,16855
0,16941
0,17130
0,17151
0,18261
0,18685
0,19886
0,20215
0,20316
0,20876
0,20918
0,21106
0,21328
0,21549
0,21920
0,22013
0,22061
0,22445
0,23927
0,25507
0,25754
0,25932
0,26344
0,26931
0,27240
0,27515
0,28120
0,28359
0,28401
0,29142
0,29539
0,30960
0,30988
0,31317
0,31378
0,31656
0,31856
0,31979
0,32166
0,33106
0,33508
0,33612
0,34046
1,854
1,1185
1,1327
1,3032
1,6258
1,10705
1,13482
1,14478
1,15790
1,15964
1,19443
1,24881
1,30414
1,33913
2,932
2,2667
2,22661
2,24242
2,27273
2,30727
3,1811
3,2089
3,2674
3,3005
3,3101
3,5285
3,6454
3,6500
3,7647
3,7701
3,7998
3,10177
3,10980
3,12646
3,15552
3,16804
3,17091
3,18973
3,19548
3,24920
3,28894
4,4896
4,16371
4,18816
4,19509
4,20884
4,22411
4,22804
4,32026
4,33067
5,4656
5,6057
5,11579
5,30889
5,32772
5,33762
6,127
6,152
6,439
6,1541
6,1735
6,2465
6,2699
6,3054
6,4822
6,4872
6,7297
6,7343
6,7981
6,8265
6,8735
6,10511
6,11776
6,12628
6,12716
6,13087
6,13373
6,13912
6,13974
6,14453
6,14489
6,14807
6,15653
6,15934
6,16149
6,16347
6,16410
6,16586
6,18729
6,21587
6,22052
6,24347
6,26753
6,27159
6,27317
6,27676
6,28099
6,28772
6,29295
6,30149
6,30265
6,30297
6,30770
6,31949
6,32377
6,32536
6,33571
7,20238
7,20776
7,24655
7,26682
8,630
8,956
8,7185
8,9151
8,12031
8,21091
8,22234
8,22415
8,28776
9,518
9,662
9,980
9,1977
9,3418
9,4340
9,4690
9,4915
9,5329
9,5789
9,8562
9,11569
9,12522
9,13958
9,14088
9,20170
9,23001
10,4213
10,4739
10,5716
10,6915
10,7586
10,8221
10,9368
10,10070
10,11384
10,12127
10,14130
10,15325
10,15929
10,16049
10,16443
10,17629
10,20515
10,30600
10,31711
11,15168
11,16195
11,22791
11,25779
12,3932
12,4716
12,7159
12,16294
12,19280
12,20428
12,23401
12,27462
12,28064
13,815
13,4354
13,8134
13,12199
13,12206
13,17302
13,23677
13,23706
13,28690
13,29762
13,30062
13,31287
14,305
14,1652
14,1662
14,2623
14,6874
14,10620
14,15034
14,19067
15,1714
15,33783
16,1916
16,2384
16,5271
16,5884
16,6273
16,9129
16,9398
16,10394
16,10794
16,13652
16,13920
16,14662
16,15466
16,15740
16,15867
16,16422
16,21355
16,21771
16,22299
16,23750
16,25873
16,29194
16,30854
16,31623
17,5735
17,18510
18,1361
18,2632
18,16163
18,16225
18,33007
19,1102
19,12182
19,14296
19,25512
19,30973
20,1346
20,3375
20,4768
20,5416
20,5522
20,6013
20,6102
20,6177
20,6919
20,7220
20,8642
20,10465
20,10560
20,10562
20,10917
20,11410
20,11461
20,11741
20,12862
20,14104
20,14158
20,14837
20,16111
20,17526
20,19201
20,32552
20,32964
20,34146
21,1396
21,13639
21,13926
21,16719
21,17549
21,18146
21,28436
21,28596
21,30652
21,31468
22,1358
22,2544
22,4449
22,20797
22,22519
22,31425
22,33549
23,16102
24,1777
24,8419
24,12024
24,13330
24,20269
24,21723
24,22858
24,25840
24,27368
24,28852
24,32287
25,1213
25,6882
25,27944
25,30821
26,5418
26,16270
26,22971
27,4328
27,9365
27,13198
27,22883
27,24756
28,158
28,577
28,2383
28,4261
28,4751
28,7418
28,9775
28,12365
28,12820
28,13781
28,14902
28,15333
28,15744
28,19958
28,22918
28,23054
28,23953
28,24551
28,25700
28,28460
28,29075
28,29917
28,30448
28,30514
28,33019
28,34004
29,60
29,6048
29,6678
29,8985
29,14080
29,23525
29,24865
29,29087
29,29090
29,33107
29,33431
30,435
30,9259
31,4245
31,4765
31,17581
31,18658
31,19042
31,20591
31,20667
31,22384
31,23998
31,27760
32,1484
32,1952
32,3052
32,3590
32,5449
32,6766
32,6776
32,7359
32,9847
32,10919
32,11288
32,11316
32,12387
32,12818
32,13223
32,13929
32,14504
32,15207
32,19839
32,22028
32,22866
32,25047
33,4064
33,7675
33,17708
33,22825
34,214
34,717
34,8788
34,8878
34,16833
34,20660
35,1720
35,18169
35,18561
35,18591
35,20389
35,26063
35,30902
36,3049
36,27801
37,734
37,2948
37,4776
37,8137
37,13546
37,17028
37,23290
37,26274
37,28751
37,30840
38,7190
38,7554
38,12159
38,15367
38,24806
38,30687
38,30786
39,11287
39,18161
39,28042
40,822
40,866
40,5986
40,9282
40,9438
40,10955
40,12700
40,12879
40,15795
40,22370
40,24111
40,27397
40,27595
40,28349
40,30679
40,34092
40,34474
41,16867
41,19300
42,2818
42,5743
42,8040
42,14108
42,15882
42,16211
42,23216
42,25846
42,30283
43,1460
43,1660
43,3879
43,4581
43,4830
43,4879
43,5708
43,5892
43,7296
43,7693
43,7976
43,8970
43,9453
43,9886
43,10801
43,13552
43,15063
43,16235
43,19758
43,21053
43,21595
43,22175
43,25418
43,26302
43,27556
43,28592
43,29705
43,30844
44,1628
44,1641
44,2049
44,5811
44,8851
44,13479
44,13605
44,13854
44,14203
44,16650
44,17996
44,19167
44,20031
44,24590
44,25632
44,28675
44,29694
44,30308
44,31319
44,32248
44,32773
44,33377
44,33848
45,939
45,1836
45,3865
45,5431
45,5768
45,6217
45,6343
45,6423
45,6728
45,7664
45,7921
45,8872
45,9027
45,9873
45,9920
45,10768
45,10922
45,13894
45,13896
45,15139
45,15753
45,16407
45,17189
45,17279
45,17595
45,19642
45,20270
45,20571
45,21200
45,22304
45,22926
45,22972
45,23565
45,23863
45,25995
45,26222
45,26583
45,26788
45,28150
45,29210
45,29733
45,30177
45,31179
45,32561
46,3842
46,5909
46,6981
46,7090
46,9599
46,13529
46,13787
46,16481
46,17989
46,18607
46,23460
46,31143
46,33177
46,34341
47,917
47,1784
47,3009
47,3037
47,4249
47,8467
47,8858
47,9712
47,10322
47,11194
47,12717
47,14058
47,14231
47,15033
47,16575
47,19166
47,20301
47,20755
47,22651
47,27578
47,28588
48,4113
48,4582
48,5007
48,5402
48,5955
48,8029
48,10545
48,10713
48,11757
48,12797
48,13016
48,14099
48,15151
48,15675
48,23596
48,28313
48,30136
48,32022
49,373
49,4558
49,6025
49,19447
49,27696
49,29210
50,2513
50,6449
50,14021
50,22071
50,22679
50,24190
50,28486
50,30174
51,4027
51,6789
51,7543
51,8689
51,12983
51,17707
51,17897
51,18496
51,18677
51,19420
51,19613
51,19816
51,23106
51,24874
51,25258
51,26448
51,33451
52,3469
52,4143
52,4279
52,6475
52,7765
52,11894
52,12295
52,12365
52,16159
52,17428
52,18556
52,18630
52,19078
52,19580
52,19815
52,20191
52,20688
52,21682
52,21932
52,23714
52,26411
52,26765
52,27401
52,27928
52,30573
52,33963
53,4494
53,27630
54,1239
54,2378
54,2736
54,8649
54,13186
54,13731
54,15287
54,17886
54,20125
54,21560
54,27617
54,30970
55,4173
55,4542
56,1037
56,2603
56,4134
56,4535
56,5498
56,6743
56,7315
56,8863
56,9532
56,9760
56,12774
56,14760
56,15400
56,22236
57,3296
57,3817
57,7001
58,3469
58,6012
58,7387
58,9976
58,10258
58,11418
58,11658
58,17232
58,18732
58,19575
58,21566
58,21840
58,21996
58,24005
58,27505
58,28377
58,28998
58,29686
58,32197
59,136
59,1904
59,4377
59,6196
59,7612
59,8855
59,10052
59,11302
59,11737
59,13546
59,13602
59,13783
59,14577
59,14943
59,16066
59,16691
59,17385
59,20600
59,21019
59,26127
59,29269
59,31321
60,29
60,3204
60,4138
60,6029
60,6057
60,6678
60,7212
60,10292
60,23484
60,25977
60,27164
60,27944
60,29719
60,32107
60,32610
60,32772
61,2501
61,6175
61,8397
61,8413
61,8587
61,10336
61,15192
61,21304
61,22596
61,33560
61,34237
62,4305
62,17477
62,29437
62,29520
62,29757
62,31007
62,34461
63,2201
63,2433
63,2454
63,2978
63,5290
63,5787
63,12086
63,12737
63,14319
63,14653
63,16625
63,16774
63,28980
63,33344
64,18818
64,30370
64,30640
64,34381
65,12406
65,13305
66,1589
66,4761
66,6736
66,10434
66,10440
66,17192
66,23114
66,23853
66,30453
66,30672
67,11651
67,12582
67,12617
67,13146
67,13671
67,15599
67,16530
67,17150
67,19695
67,20754
67,22346
67,22817
67,24462
67,33793
68,1122
68,1531
68,2477
68,2785
68,3314
68,5776
68,10944
68,10969
68,14235
68,16331
68,17663
68,18495
68,18573
68,19387
68,25341
68,26676
68,29051
68,31957
68,32006
68,33619
69,3552
69,5676
69,11337
69,20171
69,20216
69,26408
70,562
70,6368
70,9108
70,26566
71,1666
71,4395
71,4723
71,5372
71,5788
71,5866
71,5994
71,6455
71,7861
71,8400
71,9775
71,10729
71,10927
71,12057
71,13584
71,14212
71,15392
71,15694
71,17601
71,19353
71,19609
71,19955
71,20802
71,20977
71,22293
71,22905
71,22907
71,23597
71,24084
71,26248
71,27770
71,30032
71,31170
71,32490
71,34034
72,3879
72,5892
72,9886
72,10709
72,13841
72,17423
73,3015
73,13487
73,15376
73,16592
73,17569
73,29675
74,5824
74,6945
74,7895
74,9008
74,12924
74,13157
74,17070
74,17796
74,20399
74,22158
74,24949
74,25044
74,28226
74,29243
75,530
75,750
75,1166
75,1220
75,1302
75,1607
75,3456
75,5379
75,6396
75,6669
75,6684
75,7531
75,7548
75,7805
75,8656
75,9044
75,10083
75,10118
75,10219
75,10288
75,10684
75,15466
75,15475
75,16656
75,17054
75,17411
75,18892
75,21027
75,21586
75,29347
75,29567
75,29594
75,29671
75,30442
75,30568
75,30758
75,34029
76,3080
76,3470
76,7581
76,8059
76,8482
76,9351
76,9510
76,9843
76,14310
76,15308
76,15451
76,15599
76,16261
76,17150
76,17887
76,18303
76,20250
76,20742
76,21660
76,21875
76,23516
76,25779
76,27065
76,27578
76,29565
76,30520
76,33793
77,1686
77,20665
77,23888
77,30135
77,31520
78,2326
78,4115
78,6337
78,14570
78,16532
78,24196
78,24756
79,7300
79,19221
80,5508
80,9212
80,10066
80,12223
80,14207
80,14285
80,14355
80,15620
80,20615
80,28632
81,3052
81,5213
81,7067
81,8630
81,10098
81,11372
81,11772
81,13009
81,14794
81,24457
81,25047
81,25254
81,27260
81,30103
81,33002
81,33605
82,7584
82,26201
82,28493
83,3226
83,3681
83,9847
83,25429
84,602
84,4454
84,8733
84,13354
84,26572
85,1275
85,5123
85,7109
85,8078
85,8146
85,8319
85,8334
85,9623
85,13387
85,15775
85,29396
85,30593
86,8940
86,9798
86,10329
86,12459
86,19127
86,21670
86,23465
86,24391
86,24908
86,30492
86,32342
86,32370
86,34293
87,1576
87,1769
87,2298
87,4485
87,6250
87,13146
87,18826
87,24409
87,26397
88,3633
88,11891
88,16904
88,18740
88,19175
88,20312
88,23377
88,27702
88,29324
88,31903
89,1838
89,3765
89,6815
89,8442
89,9106
89,11258
89,12333
89,15189
89,15425
89,17525
89,17608
89,22585
89,23321
89,23345
89,27440
89,29703
89,31520
89,32843
89,33891
90,4559
90,9280
90,18692
90,20398
90,21767
90,27797
90,34464
91,990
91,11076
91,12714
91,20586
91,27098
91,33410
92,2964
92,6841
92,12666
92,24185
92,27222
92,29844
92,32660
92,32687
93,558
93,1202
93,1332
93,1692
93,3863
93,3966
93,4216
93,4356
93,9146
93,9423
93,11194
93,11195
93,12883
93,13490
93,15414
93,15847
93,15857
93,16948
93,17446
93,22921
93,23706
93,26731
93,26849
93,28967
93,30316
94,1982
94,2161
94,2179
94,4261
94,5952
