node,degree_centrality,closeness,betweenness,clustering_coeff,k_shell
0,0.0028702307781514553,0.23905796247652183,0.001258059804964449,0.12059369202226346,15
1,0.0004058912211527311,0.21253573893325445,1.6951754555461594e-05,0.24175824175824176,10
2,0.0001739533804940276,0.17960841491355967,4.9995758962422076e-06,0.6666666666666666,5
3,0.0006088368317290966,0.20837058695599642,6.24056809744922e-05,0.38571428571428573,13
4,0.0002609300707410414,0.19907653237908346,1.5980561237036103e-05,0.6388888888888888,7
5,0.0001739533804940276,0.1773513502396084,1.9085922522001137e-05,0.26666666666666666,6
6,0.0014786037341992346,0.24569226495330765,0.0022712645727748925,0.06352941176470588,12
7,0.00011596892032935173,0.17691199023424478,1.3311074271824094e-06,0.3333333333333333,4
8,0.0002609300707410414,0.17055658847264527,2.7450051894476143e-05,0.25,6
9,0.0004928679113997449,0.2112833078101072,0.00022163359377633883,0.27205882352941174,7
10,0.0005508523715644207,0.2109989600538325,6.596829904915304e-05,0.3391812865497076,10
11,0.00011596892032935173,0.18742188943347424,1.7323893589897678e-05,0.3333333333333333,3
12,0.0002609300707410414,0.22144893294640336,1.6431421109004569e-06,0.7222222222222222,9
13,0.0003479067609880552,0.20058619646886414,0.00010721454235531613,0.2727272727272727,7
14,0.00023193784065870347,0.17347482774229242,4.0528154947100746e-05,0.39285714285714285,5
15,5.798446016467587e-05,0.14653689125290487,1.1730139910493658e-06,0.0,2
16,0.0006958135219761104,0.2256857202680067,0.00032139591240996527,0.09420289855072464,10
17,5.798446016467587e-05,0.1610759567562519,0.0,1.0,2
18,0.00014496115041168968,0.1553308864920853,2.0961146791479062e-05,0.3,3
19,0.00014496115041168968,0.1931935295962719,6.0394721061913665e-06,0.2,4
20,0.0008117824423054622,0.22363711810778567,0.00010520961402467072,0.29365079365079366,13
21,0.00028992230082337936,0.21774565196805656,0.00021693349557078609,0.3111111111111111,9
22,0.00020294561057636554,0.18773097626421234,2.9176912737568008e-05,0.23809523809523808,5
23,2.8992230082337934e-05,0.16502085964710836,0.0,0.0,1
24,0.0003189145309057173,0.20265331782235227,8.934213160277852e-05,0.23636363636363636,5
25,0.00011596892032935173,0.17430237611554128,5.159409143850026e-06,0.5,4
26,8.69766902470138e-05,0.17490783515296576,0.0,1.0,3
27,0.00014496115041168968,0.20066554966024389,2.810734862342039e-05,0.1,4
28,0.0007537979821407863,0.23763658660934509,4.879457969763837e-05,0.35384615384615387,18
29,0.0003189145309057173,0.18678652658940756,3.121984833266176e-05,0.21818181818181817,7
30,5.798446016467587e-05,0.15665080114813065,0.0,1.0,2
31,0.00028992230082337936,0.1753292633954668,0.00035896713073915726,0.13333333333333333,4
32,0.0006378290618114346,0.20170052512777328,0.0005184876716051797,0.17316017316017315,9
33,0.00011596892032935173,0.17504275586275495,6.522753553290511e-05,0.0,2
34,0.0001739533804940276,0.17295898667656187,2.1963197299792823e-05,0.26666666666666666,5
35,0.00020294561057636554,0.19157964896689625,6.636939243506119e-05,0.19047619047619047,4
36,5.798446016467587e-05,0.1652422198374981,0.0,1.0,2
37,0.00028992230082337936,0.18406237159338928,2.4262406374985775e-05,0.35555555555555557,7
38,0.00020294561057636554,0.16301645666537484,5.629599822591322e-07,0.47619047619047616,4
39,8.69766902470138e-05,0.19516004005952348,0.0,1.0,3
40,0.0004928679113997449,0.21886620048986635,7.248743252198632e-05,0.27205882352941174,10
41,5.798446016467587e-05,0.16525251170211236,0.0,1.0,2
42,0.0002609300707410414,0.17690019489178377,5.475768108238499e-06,0.5277777777777778,7
43,0.0008117824423054622,0.20654386931423507,0.000353898817764923,0.11904761904761904,8
44,0.0006668212918937724,0.2059851059128451,0.0004665478249208333,0.1383399209486166,7
45,0.0012756581236228691,0.2307095462328767,8.680136617258555e-05,0.2536997885835095,18
46,0.0004058912211527311,0.2092161370349927,7.67574447633374e-05,0.26373626373626374,9
47,0.0006088368317290966,0.2169185392021835,0.0004346323954573373,0.21904761904761905,9
48,0.0005218601414820829,0.21605031068350372,0.0006160387858875732,0.11764705882352941,8
49,0.0001739533804940276,0.20251172785505017,3.2687275106235003e-07,0.7333333333333333,6
50,0.00023193784065870347,0.18128780990323817,0.0001821845111343006,0.03571428571428571,5
51,0.0004928679113997449,0.20543425174808513,2.3657299870350655e-05,0.4117647058823529,10
52,0.0007537979821407863,0.229906816151867,9.070517417857017e-05,0.2953846153846154,13
53,5.798446016467587e-05,0.13289512720435534,5.798446016467587e-05,0.0,1
54,0.0003479067609880552,0.17891247853849065,3.838767759250744e-06,0.3333333333333333,9
55,5.798446016467587e-05,0.1480673798444288,0.0,1.0,2
56,0.0004058912211527311,0.20246417900810632,3.564089659533152e-05,0.18681318681318682,9
57,8.69766902470138e-05,0.16761427141343752,1.8684737414139235e-05,0.0,3
58,0.0005508523715644207,0.21644347946133863,8.24776100286258e-05,0.2631578947368421,8
59,0.0006378290618114346,0.20092388170120057,7.387943119349911e-05,0.23376623376623376,9
60,0.00046387568131740694,0.18300279077664236,0.00012575803677798282,0.08333333333333333,7
61,0.0003189145309057173,0.20973773661775705,0.0001336393759510165,0.2545454545454545,8
62,0.00020294561057636554,0.18221872375045564,7.939307800602119e-05,0.3333333333333333,6
63,0.0004058912211527311,0.17868817638800388,1.608449267838029e-05,0.37362637362637363,9
64,0.00011596892032935173,0.17997484985572584,1.0635133752663126e-05,0.6666666666666666,3
65,5.798446016467587e-05,0.16138873292157963,0.0,1.0,2
66,0.00028992230082337936,0.17551930142381714,9.43511340592684e-05,0.2,5
67,0.0004058912211527311,0.21391050885298768,0.00011486721109593345,0.42857142857142855,10
68,0.0005798446016467587,0.19123656182254675,9.198765836217492e-05,0.38421052631578945,9
69,0.0001739533804940276,0.1785947289390566,1.8538172283385874e-07,0.9333333333333333,6
70,0.00011596892032935173,0.1699289089019061,0.0,1.0,4
71,0.0010147280528818277,0.2359928022605828,0.00010171528549467315,0.23361344537815126,18
72,0.0001739533804940276,0.18888341273752807,4.659541235671408e-06,0.4,6
73,0.0001739533804940276,0.17936091105275473,7.684827397136737e-06,0.6666666666666666,5
74,0.0004058912211527311,0.21827478626258534,1.677682017760389e-05,0.4065934065934066,11
75,0.0010727125130465035,0.22500407710623307,0.0002466809112020777,0.2057057057057057,12
76,0.0007827902122231242,0.21097831006936374,0.000533584627691962,0.16524216524216523,9
77,0.00014496115041168968,0.20384619930735318,2.104000034091659e-06,0.6,4
78,0.00020294561057636554,0.19471494459216104,1.4979228555840338e-06,0.8095238095238095,7
79,5.798446016467587e-05,0.18024194601938703,9.72424387815704e-07,0.0,2
80,0.00028992230082337936,0.19801366324128825,4.19756005383521e-06,0.7555555555555555,9
81,0.00046387568131740694,0.20543547532117906,0.0005119706296511365,0.10833333333333334,7
82,8.69766902470138e-05,0.15822744162576266,5.266503944981688e-06,0.6666666666666666,3
83,0.00011596892032935173,0.17864837987900886,0.0,1.0,4
84,0.00014496115041168968,0.18616851888834315,2.635905367700951e-06,0.5,4
85,0.0003479067609880552,0.21102865148947364,8.817511217625727e-05,0.45454545454545453,9
86,0.00037689899107039315,0.22270576005475312,1.22492142345621e-05,0.16666666666666666,13
87,0.0002609300707410414,0.19798752102311537,0.0003479341471857581,0.16666666666666666,5
88,0.00028992230082337936,0.19476772091499947,6.888336793203657e-07,0.7333333333333333,8
89,0.0005508523715644207,0.21954464155002643,5.590838458119366e-05,0.15204678362573099,9
90,0.00020294561057636554,0.2054110066282747,3.0292084315163494e-05,0.23809523809523808,5
91,0.0001739533804940276,0.186433165774823,1.1314997542172345e-05,0.4,5
92,0.00023193784065870347,0.19087991145545102,9.174565308568312e-05,0.2857142857142857,5
93,0.0007248057520584483,0.2155682634917659,0.00020971645872958598,0.29333333333333333,9
94,0.0004928679113997449,0.22141765846268407,1.5129814030837558e-05,0.4264705882352941,15
95,0.0001739533804940276,0.19621138858865692,6.391203289246593e-05,0.26666666666666666,4
96,5.798446016467587e-05,0.17227222327662847,0.0,1.0,2
97,8.69766902470138e-05,0.1672015124339522,8.233373727582576e-06,0.3333333333333333,2
98,0.0006088368317290966,0.22114934569492264,2.8058490810717513e-05,0.20952380952380953,14
99,0.00023193784065870347,0.1919592172925803,6.237010666042793e-05,0.2857142857142857,5
100,0.0006088368317290966,0.2232694224719392,3.77769326164904e-05,0.32857142857142857,15
