node,soft_label,spread_beta_0,spread_beta_1,spread_beta_2,spread_beta_3,spread_beta_4,spread_beta_5,spread_beta_6,spread_beta_7,spread_beta_8,spread_beta_9,spread_beta_10,spread_beta_11
0,0.4982300109059516,0.0003416430705518251,0.0007902790329022966,0.0021167046598226493,0.005525630271086051,0.012952012272939304,0.025693171622317795,0.04202844101141874,0.0583935577002386,0.07570372116012807,0.09706104012453476,0.11854947116689249,0.1321359667904191
1,0.11653029706822982,4.146474844255658e-05,7.405327104108796e-05,0.00023925784603375492,0.0008307518131792487,0.0025450140840240273,0.0053249767253910575,0.008900365823446107,0.013647739938164595,0.018841788462472635,0.025612369555713124,0.03312753097613697,0.039693444764826204
2,0.007120254052706658,3.18827269370938e-05,3.276406524389846e-05,3.390780398956718e-05,3.606467531375637e-05,3.966733993129458e-05,4.266330318072477e-05,4.430469365092987e-05,4.477414067182675e-05,5.5871278168990305e-05,0.00019537370111521684,0.0008046837677424143,0.0016868495083740046
3,0.05804676417186704,6.328894167041983e-05,8.445812564477265e-05,0.00016773619261829844,0.00044367270121361223,0.001126200371268031,0.002517815036873915,0.005235615165925422,0.010361456237514978,0.019283040898028916,0.032010639117999486,0.045005465196682845,0.05334481518621733
4,0.014088102261973224,3.394548725321508e-05,4.194172291801065e-05,0.0001101708459879625,0.00036776400508324776,0.0006384664022394862,0.0006591568468554969,0.0006823145092625197,0.0008595174770429037,0.001605702603931039,0.0030382085741964215,0.004150954977338569,0.0038915683734789307
5,0.007162804205835598,3.157485425741442e-05,3.193418141770123e-05,3.3306153468343905e-05,3.5411745745729726e-05,3.680677665935933e-05,4.3801659880662085e-05,0.00012396891628833705,0.00042903514941451275,0.0006858681813793131,0.00043829765876244404,0.00014683031907511358,8.20725879203416e-05
6,0.2486010541267156,0.00017204941631296475,0.0004927162840927468,0.001556794139067362,0.0038029434321373784,0.007359637107544443,0.0137001279318353,0.024478674451374572,0.038504332401457356,0.05445567926212014,0.06865382447242725,0.07923730370159128,0.08804245930709281
7,0.0069922001581692395,3.088777099805284e-05,3.187039761644818e-05,3.3436151514336745e-05,3.477125335116177e-05,3.5754698850752655e-05,3.653801618140948e-05,3.711997816280202e-05,3.774338331260438e-05,3.952726928740367e-05,4.426205953010823e-05,5.169520241389936e-05,5.750389908716971e-05
8,0.007063384035596638,3.48637649727168e-05,3.683732510040398e-05,3.849664500727668e-05,3.982407963266536e-05,4.1760946115558734e-05,4.4507881738335705e-05,4.813696831297642e-05,5.028102229780341e-05,5.216252355698567e-05,5.6550428999471905e-05,6.155473520894791e-05,6.434209148836535e-05
9,0.0647463202198791,4.737578030241172e-05,4.735931817155077e-05,6.293162359464203e-05,0.000229739723039789,0.0009959061258002313,0.002604402179434891,0.0049441816693465545,0.007705692006930075,0.00898913984326718,0.009447766525756143,0.01111093444569037,0.011565056364441245
