node,degree_centrality,closeness,betweenness,clustering_coeff,k_shell
0,0.0002536011361330899,0.18312187691564655,0.0001408210039398334,0.3,5
1,0.00015216068167985393,0.15376576379844176,1.935488142043486e-05,0.0,2
2,0.00015216068167985393,0.16738689329043102,0.0006008026965933806,0.0,3
3,5.0720227226617976e-05,0.14802801991125528,0.0,0.0,1
4,5.0720227226617976e-05,0.14706957384435212,0.0,0.0,1
5,0.00010144045445323595,0.16790863644492893,3.915251726900833e-06,0.0,2
6,0.0011158449989855956,0.18060402868998873,0.0006604728301097399,0.13852813852813853,8
7,0.0008622438628525055,0.20146531375494314,0.0036961556652458545,0.0,5
8,5.0720227226617976e-05,0.13401305057096247,0.0,0.0,1
9,0.0004564820450395618,0.17229295745108492,0.0001415784720410263,0.0,4
10,0.00030432136335970786,0.17466800145290892,3.888673996887248e-05,0.0,5
11,5.0720227226617976e-05,0.14715189873417722,0.0,0.0,1
12,0.0005072022722661798,0.15611440154562442,0.0006230046326211723,0.044444444444444446,3
13,5.0720227226617976e-05,0.15859838795308653,0.0,0.0,1
14,5.0720227226617976e-05,0.14828073764327188,0.0,0.0,1
15,0.00030432136335970786,0.15578135617325894,3.736886557317556e-05,0.3333333333333333,4
16,0.0014708865895719213,0.1508804420193919,0.001979893664130329,0.0,4
17,0.00030432136335970786,0.1516883756356894,0.00040642239883242177,0.0,2
18,0.0004057618178129438,0.17908007557041128,0.00018350883335726075,0.35714285714285715,5
19,0.0004057618178129438,0.17029583243359966,0.0001551036323285557,0.0,4
20,5.0720227226617976e-05,0.14213315070468227,0.0,0.0,1
21,0.00010144045445323595,0.14697747925721058,0.0002028706182187262,0.0,1
22,0.00010144045445323595,0.1616092067083067,0.0,1.0,2
23,5.0720227226617976e-05,0.15424816147707715,0.0,0.0,1
24,0.0002028809089064719,0.1615562365820482,9.032323739851932e-07,0.16666666666666666,4
25,5.0720227226617976e-05,0.1386653913239183,0.0,0.0,1
26,0.0002536011361330899,0.12539671434659,0.0007135865249195961,0.1,2
27,0.00015216068167985393,0.16810047149300433,0.0002340532711739566,0.0,2
28,5.0720227226617976e-05,0.14872816149180773,0.0,0.0,1
29,0.00010144045445323595,0.16226492736924406,8.379827036510772e-06,0.0,2
30,5.0720227226617976e-05,0.16542766525146416,0.0,0.0,1
31,5.0720227226617976e-05,0.16165558407057878,0.0,0.0,1
