source,target
0,1
0,2
0,3
1,0
2,0
3,4
3,5
3,0
3,6
4,3
5,3
6,7
6,8
6,3
6,9
7,6
8,6
9,10
9,11
9,6
9,12
10,9
11,9
12,13
12,14
12,9
13,12
14,12
21,38
21,39
23,31
25,39
40,31
42,38
55,60
57,74
67,60
72,51
78,51
78,74
88,99
97,89
102,116
104,99
114,89
120,116
137,135
141,144
146,144
147,150
149,150
152,135
182,163
190,163
34,47
133,130
39,50
187,169
131,151
50,39
168,190
136,9
185,182
121,109
67,58
130,133
99,106
132,134
144,153
102,100
68,55
91,97
134,132
46,24
41,37
187,170
32,26
180,169
98,97
114,119
97,98
61,82
29,43
100,102
100,98
97,91
114,113
70,63
142,149
119,114
17,50
106,99
173,183
113,114
126,142
123,11
102,90
77,85
110,122
63,70
97,101
190,191
186,189
46,20
191,190
179,190
79,82
175,168
47,37
85,77
30,17
164,12
82,79
12,164
62,56
121,95
172,164
61,67
40,1
189,186
137,134
77,70
44,23
86,3
192,172
88,93
67,61
27,34
71,61
50,36
56,62
78,82
103,112
51,72
83,72
108,121
93,88
82,3
142,128
135,158
15,41
82,78
165,190
180,187
31,47
34,27
170,186
178,181
192,167
138,133
182,178
163,161
160,183
39,34
35,46
120,117
178,182
110,117
79,83
158,146
181,178
117,120
129,133
140,132
105,90
54,63
121,114
83,79
19,33
114,121
31,0
18,29
30,24
161,163
43,33
160,166
111,100
92,91
63,57
191,193
22,15
133,129
62,65
166,164
91,92
166,160
113,7
70,82
15,22
169,13
23,32
37,44
163,187
73,59
155,152
146,139
55,52
154,156
16,33
52,55
111,110
45,32
107,112
66,80
36,42
156,124
88,104
193,161
56,3
93,120
115,121
3,56
151,9
124,139
156,154
45,21
116,108
112,88
175,166
20,28
139,146
135,153
65,62
96,119
162,175
81,66
121,115
11,147
129,137
131,154
172,178
120,106
25,26
178,172
60,55
162,186
17,25
143,138
52,73
194,166
39,41
49,18
128,142
114,117
50,29
117,102
25,17
85,65
159,192
98,94
26,20
58,65
97,121
24,20
184,188
26,25
118,110
173,179
148,136
171,191
36,0
87,115
179,14
20,26
106,113
164,173
72,86
179,173
97,118
59,83
59,71
166,13
116,87
183,185
94,98
85,72
10,136
20,24
122,103
48,28
193,187
188,184
158,136
187,193
136,10
185,179
24,30
69,75
40,17
75,76
131,139
183,167
21,37
95,91
81,53
141,125
152,158
76,75
95,107
164,166
101,98
47,25
178,176
72,79
51,76
91,95
91,6
176,178
75,54
158,152
90,6
26,35
76,54
94,7
96,108
157,145
153,138
182,159
36,24
149,154
189,170
82,69
189,180
194,176
6,91
92,119
109,119
69,58
181,192
177,182
75,70
177,170
176,180
44,48
116,107
48,44
115,91
6,90
41,44
55,70
90,119
34,22
119,112
141,133
150,143
44,41
148,133
138,152
37,32
63,84
29,15
64,70
147,137
101,87
112,119
123,151
62,84
179,183
103,122
185,183
170,193
38,0
52,81
190,184
165,184
21,0
161,188
42,35
127,128
46,45
109,92
3,62
125,156
62,3
28,35
109,94
45,46
27,24
15,35
163,186
93,108
30,44
38,50
35,28
171,179
22,48
47,27
73,81
179,171
50,17
35,0
130,157
96,110
73,84
133,146
139,154
32,37
155,9
146,123
33,16
122,87
176,165
58,85
117,87
132,129
20,40
0,21
48,1
74,57
193,170
126,147
23,30
19,17
74,64
140,142
105,93
78,81
157,142
53,4
17,19
89,104
64,74
151,145
53,72
124,11
35,47
152,146
142,140
85,76
79,58
17,15
26,15
99,103
80,55
130,10
15,26
104,93
104,105
103,99
64,77
84,67
108,112
67,73
94,117
185,164
152,155
76,84
147,129
60,3
65,5
28,48
104,97
25,27
125,129
137,153
178,170
101,120
9,123
37,2
99,120
167,184
120,8
133,147
118,6
43,16
191,194
136,152
108,96
71,75
150,129
24,47
184,190
69,5
77,61
16,1
68,66
194,159
105,122
172,174
28,30
134,138
138,10
76,64
70,76
111,106
98,111
190,169
143,146
21,27
181,171
181,184
33,34
129,132
168,192
89,108
174,161
32,1
78,68
125,126
142,130
135,126
57,78
157,146
81,72
145,136
156,130
149,134
161,12
122,119
169,181
64,79
140,136
60,63
48,16
127,134
32,22
126,152
43,40
72,75
82,63
54,59
102,120
57,75
186,185
31,26
5,86
42,2
89,113
165,189
80,52
188,180
66,69
153,152
23,28
88,112
31,30
31,25
38,42
38,36
39,47
39,28
51,86
51,85
60,71
60,4
74,85
74,5
89,117
89,122
99,112
99,91
116,105
116,94
135,11
144,143
144,129
150,123
150,154
163,173
169,190
144,126
63,4
94,100
158,133
134,139
87,6
123,124
58,77
136,151
144,145
86,68
110,95
127,11
171,161
143,129
186,159
51,78
113,104
40,0
174,166
167,187
18,49
100,120
103,7
56,71
148,154
112,110
156,141
19,26
168,183
27,44
159,180
86,81
153,156
53,55
15,2
80,66
42,45
49,34
57,62
137,136
188,189
184,171
33,0
145,11
92,110
38,25
87,114
107,117
180,176
83,73
176,171
145,142
22,30
141,136
115,96
49,40
100,112
124,123
191,165
90,101
155,138
183,187
175,172
151,155
134,11
83,66
6,88
95,115
159,178
132,157
170,191
68,79
84,58
160,162
113,118
174,180
118,90
150,9
139,140
146,9
130,131
16,28
107,95
52,57
167,170
187,176
129,123
173,177
71,55
45,29
139,147
119,104
56,66
18,33
29,47
84,55
119,117
128,11
188,160
149,137
25,19
55,4
128,152
93,114
106,115
152,133
54,78
