node,throughput_raw,delay_raw,loss_raw,txPackets,rxPackets,bytes_,uptime_ratio,degree_centrality,closeness,betweenness,clustering_coeff,k_shell,throughput,delay,loss,soft_label,run_split,mask,true_label
0,0.0,0.0,0.0,0,0,0,1.0,0.0515463917525773,0.2440251572327044,0.3202526900539827,0.0888888888888888,4,0.001,1.0,1.0,0.6563402,val,0,0.6563402
1,1101.82101010101,0.038757601076647,-287.962962962963,27,7802,8181021,1.0,0.0257731958762886,0.2008281573498964,0.026005848753031,0.2,4,33.19368932645195,0.962688503038172,1.0,0.4508643,val,0,0.4508643
2,839.1397979797979,0.1765951586415602,-219.2962962962963,27,5948,6230613,1.0,0.0206185567010309,0.2002063983488132,0.0178852253634584,0.0,4,28.967909813788737,0.8499100074103242,1.0,0.35511485,val,0,0.35511485
3,1074.4641077441077,0.2108023198574023,0.1271602980814967,12614,11010,7977896,1.0,0.0463917525773195,0.2861356932153392,0.5623984200903168,0.0833333333333333,4,32.77901933774267,0.8258986488543987,0.8728397019185032,0.86894447,val,0,0.86894447
4,1700.1823569023568,0.2866587964555491,-572.6666666666666,27,15489,12623854,1.0,0.0257731958762886,0.2306777645659928,0.0227068157815081,0.4,4,41.23326761126696,0.7772068265143575,1.0,0.4597367,val,0,0.4597367
5,0.5006060606060605,0.001001348275862,0.9926675094816688,3955,29,3717,1.0,0.0257731958762886,0.2304038004750593,0.0271663578484795,0.1,4,0.7075359076443121,0.9989996534194616,0.0073324905183311,0.24199931,val,0,0.24199931
6,1521.3356228956227,0.134810242827532,-0.917100575500137,7298,13991,11295917,1.0,0.0463917525773195,0.3035993740219092,0.6437915192428839,0.0277777777777777,4,39.00430263311502,0.8812045946187143,1.0,1.0,val,0,1.0
7,988.5964983164982,0.033141140068542,-258.3703703703704,27,7003,7340329,1.0,0.0206185567010309,0.2409937888198757,0.0302961490491537,0.0,4,31.441954444921173,0.9679219626600648,1.0,0.47938687,val,0,0.47938687
8,325.5177104377104,0.3669548015066724,-85.03703703703704,27,2323,2416969,1.0,0.0103092783505154,0.2380368098159509,0.0116987289547516,0.0,2,18.04210939545901,0.7315530834653707,1.0,0.15482472,val,0,0.15482472
9,295.7760269360269,0.4032111397810219,0.4104357181280258,3718,2192,2196137,1.0,0.0515463917525773,0.2861356932153392,0.5619230123543462,0.1555555555555555,4,17.198140246434406,0.7126511268689436,0.5895642818719742,0.74735063,val,0,0.74735063
